w,A_A,p_A,A_B,p_B
4.511e+02,-2.888e+01,-2.903e+00,-1.981e+01,-3.340e+00
4.524e+02,-2.893e+01,-2.872e+00,-2.002e+01,-3.363e+00
4.536e+02,-2.896e+01,-2.840e+00,-2.024e+01,-3.385e+00
4.549e+02,-2.897e+01,-2.809e+00,-2.047e+01,-3.407e+00
4.561e+02,-2.896e+01,-2.779e+00,-2.071e+01,-3.429e+00
4.574e+02,-2.892e+01,-2.749e+00,-2.097e+01,-3.451e+00
4.586e+02,-2.887e+01,-2.720e+00,-2.123e+01,-3.471e+00
4.599e+02,-2.880e+01,-2.693e+00,-2.151e+01,-3.492e+00
4.611e+02,-2.872e+01,-2.668e+00,-2.181e+01,-3.511e+00
4.624e+02,-2.861e+01,-2.644e+00,-2.211e+01,-3.530e+00
4.636e+02,-2.850e+01,-2.621e+00,-2.244e+01,-3.549e+00
4.649e+02,-2.838e+01,-2.601e+00,-2.277e+01,-3.566e+00
4.661e+02,-2.825e+01,-2.582e+00,-2.313e+01,-3.582e+00
4.674e+02,-2.811e+01,-2.565e+00,-2.350e+01,-3.597e+00
4.686e+02,-2.796e+01,-2.549e+00,-2.389e+01,-3.611e+00
4.699e+02,-2.781e+01,-2.536e+00,-2.430e+01,-3.624e+00
4.711e+02,-2.766e+01,-2.524e+00,-2.473e+01,-3.635e+00
4.724e+02,-2.751e+01,-2.514e+00,-2.518e+01,-3.644e+00
4.736e+02,-2.736e+01,-2.505e+00,-2.566e+01,-3.650e+00
4.749e+02,-2.720e+01,-2.498e+00,-2.616e+01,-3.654e+00
4.761e+02,-2.705e+01,-2.492e+00,-2.668e+01,-3.655e+00
4.774e+02,-2.690e+01,-2.488e+00,-2.723e+01,-3.652e+00
4.786e+02,-2.675e+01,-2.485e+00,-2.782e+01,-3.645e+00
4.799e+02,-2.661e+01,-2.483e+00,-2.843e+01,-3.633e+00
4.811e+02,-2.646e+01,-2.482e+00,-2.906e+01,-3.615e+00
4.824e+02,-2.632e+01,-2.483e+00,-2.973e+01,-3.589e+00
4.836e+02,-2.619e+01,-2.484e+00,-3.041e+01,-3.554e+00
4.849e+02,-2.606e+01,-2.486e+00,-3.111e+01,-3.509e+00
4.861e+02,-2.593e+01,-2.489e+00,-3.180e+01,-3.451e+00
4.874e+02,-2.581e+01,-2.493e+00,-3.247e+01,-3.379e+00
4.886e+02,-2.569e+01,-2.498e+00,-3.308e+01,-3.293e+00
4.899e+02,-2.558e+01,-2.503e+00,-3.359e+01,-3.191e+00
4.911e+02,-2.547e+01,-2.510e+00,-3.396e+01,-3.076e+00
4.924e+02,-2.536e+01,-2.516e+00,-3.415e+01,-2.953e+00
4.936e+02,-2.527e+01,-2.524e+00,-3.414e+01,-2.828e+00
4.949e+02,-2.517e+01,-2.532e+00,-3.393e+01,-2.709e+00
4.961e+02,-2.508e+01,-2.540e+00,-3.357e+01,-2.601e+00
4.974e+02,-2.499e+01,-2.549e+00,-3.308e+01,-2.507e+00
4.986e+02,-2.491e+01,-2.558e+00,-3.252e+01,-2.429e+00
4.999e+02,-2.484e+01,-2.568e+00,-3.192e+01,-2.365e+00
5.011e+02,-2.477e+01,-2.578e+00,-3.131e+01,-2.315e+00
5.024e+02,-2.470e+01,-2.589e+00,-3.071e+01,-2.276e+00
5.036e+02,-2.464e+01,-2.600e+00,-3.013e+01,-2.246e+00
5.049e+02,-2.458e+01,-2.611e+00,-2.957e+01,-2.224e+00
5.061e+02,-2.453e+01,-2.622e+00,-2.903e+01,-2.210e+00
5.074e+02,-2.448e+01,-2.634e+00,-2.853e+01,-2.200e+00
5.086e+02,-2.443e+01,-2.646e+00,-2.805e+01,-2.196e+00
5.099e+02,-2.440e+01,-2.659e+00,-2.760e+01,-2.195e+00
5.111e+02,-2.436e+01,-2.671e+00,-2.718e+01,-2.198e+00
5.124e+02,-2.433e+01,-2.684e+00,-2.678e+01,-2.203e+00
5.136e+02,-2.430e+01,-2.697e+00,-2.641e+01,-2.211e+00
5.149e+02,-2.428e+01,-2.710e+00,-2.606e+01,-2.221e+00
5.161e+02,-2.426e+01,-2.723e+00,-2.573e+01,-2.233e+00
5.174e+02,-2.425e+01,-2.737e+00,-2.542e+01,-2.247e+00
5.186e+02,-2.424e+01,-2.750e+00,-2.513e+01,-2.261e+00
5.199e+02,-2.423e+01,-2.764e+00,-2.485e+01,-2.277e+00
5.211e+02,-2.423e+01,-2.778e+00,-2.460e+01,-2.294e+00
5.224e+02,-2.424e+01,-2.792e+00,-2.436e+01,-2.312e+00
5.236e+02,-2.424e+01,-2.805e+00,-2.413e+01,-2.330e+00
5.249e+02,-2.425e+01,-2.820e+00,-2.392e+01,-2.350e+00
5.261e+02,-2.427e+01,-2.834e+00,-2.373e+01,-2.370e+00
5.274e+02,-2.429e+01,-2.848e+00,-2.354e+01,-2.390e+00
5.286e+02,-2.431e+01,-2.862e+00,-2.337e+01,-2.412e+00
5.299e+02,-2.434e+01,-2.876e+00,-2.322e+01,-2.433e+00
5.311e+02,-2.437e+01,-2.891e+00,-2.307e+01,-2.455e+00
5.324e+02,-2.441e+01,-2.905e+00,-2.293e+01,-2.477e+00
5.336e+02,-2.445e+01,-2.919e+00,-2.281e+01,-2.500e+00
5.349e+02,-2.449e+01,-2.934e+00,-2.270e+01,-2.523e+00
5.361e+02,-2.454e+01,-2.948e+00,-2.259e+01,-2.546e+00
5.374e+02,-2.459e+01,-2.962e+00,-2.250e+01,-2.570e+00
5.386e+02,-2.465e+01,-2.976e+00,-2.241e+01,-2.594e+00
5.399e+02,-2.471e+01,-2.991e+00,-2.234e+01,-2.618e+00
5.411e+02,-2.477e+01,-3.005e+00,-2.227e+01,-2.642e+00
5.424e+02,-2.484e+01,-3.019e+00,-2.221e+01,-2.666e+00
5.436e+02,-2.491e+01,-3.033e+00,-2.217e+01,-2.691e+00
5.449e+02,-2.499e+01,-3.047e+00,-2.213e+01,-2.715e+00
5.461e+02,-2.507e+01,-3.060e+00,-2.209e+01,-2.740e+00
5.474e+02,-2.515e+01,-3.074e+00,-2.207e+01,-2.765e+00
5.486e+02,-2.524e+01,-3.088e+00,-2.206e+01,-2.790e+00
5.499e+02,-2.534e+01,-3.101e+00,-2.205e+01,-2.815e+00
5.511e+02,-2.543e+01,-3.114e+00,-2.205e+01,-2.840e+00
5.524e+02,-2.553e+01,-3.127e+00,-2.206e+01,-2.865e+00
5.536e+02,-2.564e+01,-3.140e+00,-2.208e+01,-2.890e+00
5.549e+02,-2.575e+01,-3.153e+00,-2.210e+01,-2.915e+00
5.561e+02,-2.587e+01,-3.166e+00,-2.213e+01,-2.940e+00
5.574e+02,-2.599e+01,-3.178e+00,-2.217e+01,-2.965e+00
5.586e+02,-2.611e+01,-3.190e+00,-2.222e+01,-2.990e+00
5.599e+02,-2.624e+01,-3.202e+00,-2.228e+01,-3.015e+00
5.611e+02,-2.637e+01,-3.213e+00,-2.234e+01,-3.040e+00
5.624e+02,-2.651e+01,-3.225e+00,-2.241e+01,-3.065e+00
5.636e+02,-2.665e+01,-3.236e+00,-2.249e+01,-3.090e+00
5.649e+02,-2.680e+01,-3.246e+00,-2.258e+01,-3.115e+00
5.661e+02,-2.695e+01,-3.256e+00,-2.267e+01,-3.140e+00
5.674e+02,-2.710e+01,-3.266e+00,-2.278e+01,-3.165e+00
5.686e+02,-2.726e+01,-3.276e+00,-2.289e+01,-3.190e+00
5.699e+02,-2.743e+01,-3.284e+00,-2.301e+01,-3.214e+00
5.711e+02,-2.760e+01,-3.293e+00,-2.314e+01,-3.239e+00
5.724e+02,-2.777e+01,-3.301e+00,-2.328e+01,-3.263e+00
5.736e+02,-2.795e+01,-3.308e+00,-2.343e+01,-3.287e+00
5.749e+02,-2.814e+01,-3.315e+00,-2.358e+01,-3.311e+00
5.761e+02,-2.833e+01,-3.321e+00,-2.375e+01,-3.334e+00
5.774e+02,-2.852e+01,-3.327e+00,-2.392e+01,-3.358e+00
5.786e+02,-2.872e+01,-3.332e+00,-2.411e+01,-3.381e+00
5.799e+02,-2.892e+01,-3.336e+00,-2.430e+01,-3.404e+00
5.811e+02,-2.913e+01,-3.339e+00,-2.451e+01,-3.427e+00
5.824e+02,-2.934e+01,-3.341e+00,-2.473e+01,-3.449e+00
5.836e+02,-2.955e+01,-3.343e+00,-2.496e+01,-3.471e+00
5.849e+02,-2.977e+01,-3.343e+00,-2.520e+01,-3.492e+00
5.861e+02,-2.999e+01,-3.342e+00,-2.545e+01,-3.513e+00
5.874e+02,-3.022e+01,-3.341e+00,-2.572e+01,-3.533e+00
5.886e+02,-3.045e+01,-3.338e+00,-2.600e+01,-3.553e+00
5.899e+02,-3.068e+01,-3.333e+00,-2.629e+01,-3.572e+00
5.911e+02,-3.091e+01,-3.328e+00,-2.660e+01,-3.590e+00
5.924e+02,-3.115e+01,-3.321e+00,-2.692e+01,-3.608e+00
5.936e+02,-3.138e+01,-3.313e+00,-2.726e+01,-3.624e+00
5.949e+02,-3.161e+01,-3.303e+00,-2.762e+01,-3.640e+00
5.961e+02,-3.185e+01,-3.291e+00,-2.799e+01,-3.654e+00
5.974e+02,-3.208e+01,-3.278e+00,-2.839e+01,-3.667e+00
5.986e+02,-3.230e+01,-3.263e+00,-2.881e+01,-3.678e+00
5.999e+02,-3.252e+01,-3.246e+00,-2.924e+01,-3.687e+00
6.012e+02,-3.274e+01,-3.228e+00,-2.971e+01,-3.694e+00
6.024e+02,-3.294e+01,-3.207e+00,-3.019e+01,-3.698e+00
6.037e+02,-3.314e+01,-3.185e+00,-3.070e+01,-3.700e+00
6.049e+02,-3.332e+01,-3.162e+00,-3.124e+01,-3.698e+00
6.062e+02,-3.349e+01,-3.136e+00,-3.181e+01,-3.691e+00
6.074e+02,-3.364e+01,-3.110e+00,-3.240e+01,-3.680e+00
6.087e+02,-3.378e+01,-3.082e+00,-3.303e+01,-3.662e+00
6.099e+02,-3.390e+01,-3.052e+00,-3.368e+01,-3.638e+00
6.112e+02,-3.400e+01,-3.022e+00,-3.435e+01,-3.604e+00
6.124e+02,-3.407e+01,-2.991e+00,-3.503e+01,-3.561e+00
6.137e+02,-3.413e+01,-2.960e+00,-3.572e+01,-3.505e+00
6.149e+02,-3.416e+01,-2.929e+00,-3.638e+01,-3.436e+00
6.162e+02,-3.417e+01,-2.898e+00,-3.700e+01,-3.351e+00
6.174e+02,-3.416e+01,-2.867e+00,-3.752e+01,-3.251e+00
6.187e+02,-3.413e+01,-2.837e+00,-3.790e+01,-3.138e+00
6.199e+02,-3.408e+01,-2.808e+00,-3.811e+01,-3.016e+00
6.212e+02,-3.401e+01,-2.781e+00,-3.812e+01,-2.891e+00
6.224e+02,-3.392e+01,-2.754e+00,-3.793e+01,-2.771e+00
6.237e+02,-3.382e+01,-2.729e+00,-3.758e+01,-2.661e+00
6.249e+02,-3.370e+01,-2.706e+00,-3.710e+01,-2.565e+00
6.262e+02,-3.358e+01,-2.684e+00,-3.654e+01,-2.484e+00
6.274e+02,-3.344e+01,-2.665e+00,-3.594e+01,-2.419e+00
6.287e+02,-3.330e+01,-2.647e+00,-3.532e+01,-2.366e+00
6.299e+02,-3.315e+01,-2.630e+00,-3.471e+01,-2.326e+00
6.312e+02,-3.299e+01,-2.616e+00,-3.411e+01,-2.295e+00
6.324e+02,-3.283e+01,-2.603e+00,-3.354e+01,-2.272e+00
6.337e+02,-3.267e+01,-2.592e+00,-3.299e+01,-2.256e+00
6.349e+02,-3.251e+01,-2.582e+00,-3.247e+01,-2.246e+00
6.362e+02,-3.234e+01,-2.574e+00,-3.199e+01,-2.241e+00
6.374e+02,-3.218e+01,-2.567e+00,-3.152e+01,-2.240e+00
6.387e+02,-3.202e+01,-2.562e+00,-3.109e+01,-2.242e+00
6.399e+02,-3.186e+01,-2.558e+00,-3.068e+01,-2.247e+00
6.412e+02,-3.171e+01,-2.555e+00,-3.030e+01,-2.255e+00
6.424e+02,-3.155e+01,-2.554e+00,-2.993e+01,-2.264e+00
6.437e+02,-3.140e+01,-2.553e+00,-2.959e+01,-2.276e+00
6.449e+02,-3.125e+01,-2.554e+00,-2.927e+01,-2.289e+00
6.462e+02,-3.111e+01,-2.556e+00,-2.897e+01,-2.304e+00
6.474e+02,-3.097e+01,-2.558e+00,-2.869e+01,-2.319e+00
6.487e+02,-3.084e+01,-2.561e+00,-2.842e+01,-2.336e+00
6.499e+02,-3.071e+01,-2.566e+00,-2.817e+01,-2.354e+00
6.512e+02,-3.058e+01,-2.571e+00,-2.794e+01,-2.372e+00
6.524e+02,-3.046e+01,-2.576e+00,-2.772e+01,-2.391e+00
6.537e+02,-3.035e+01,-2.582e+00,-2.752e+01,-2.411e+00
6.549e+02,-3.024e+01,-2.589e+00,-2.732e+01,-2.432e+00
6.562e+02,-3.013e+01,-2.597e+00,-2.715e+01,-2.453e+00
6.574e+02,-3.003e+01,-2.605e+00,-2.698e+01,-2.474e+00
6.587e+02,-2.993e+01,-2.613e+00,-2.682e+01,-2.496e+00
6.599e+02,-2.984e+01,-2.622e+00,-2.668e+01,-2.519e+00
6.612e+02,-2.975e+01,-2.632e+00,-2.655e+01,-2.541e+00
6.624e+02,-2.967e+01,-2.642e+00,-2.643e+01,-2.564e+00
6.637e+02,-2.959e+01,-2.652e+00,-2.631e+01,-2.587e+00
6.649e+02,-2.952e+01,-2.662e+00,-2.621e+01,-2.611e+00
6.662e+02,-2.945e+01,-2.673e+00,-2.612e+01,-2.635e+00
6.674e+02,-2.939e+01,-2.685e+00,-2.604e+01,-2.658e+00
6.687e+02,-2.933e+01,-2.696e+00,-2.596e+01,-2.683e+00
6.699e+02,-2.927e+01,-2.708e+00,-2.590e+01,-2.707e+00
6.712e+02,-2.922e+01,-2.720e+00,-2.584e+01,-2.731e+00
6.724e+02,-2.918e+01,-2.732e+00,-2.580e+01,-2.756e+00
6.737e+02,-2.914e+01,-2.745e+00,-2.576e+01,-2.780e+00
6.749e+02,-2.910e+01,-2.757e+00,-2.573e+01,-2.805e+00
6.762e+02,-2.907e+01,-2.770e+00,-2.570e+01,-2.830e+00
6.774e+02,-2.904e+01,-2.783e+00,-2.569e+01,-2.855e+00
6.787e+02,-2.902e+01,-2.797e+00,-2.569e+01,-2.880e+00
6.799e+02,-2.900e+01,-2.810e+00,-2.569e+01,-2.905e+00
6.812e+02,-2.898e+01,-2.823e+00,-2.570e+01,-2.930e+00
6.824e+02,-2.897e+01,-2.837e+00,-2.572e+01,-2.955e+00
6.837e+02,-2.896e+01,-2.851e+00,-2.574e+01,-2.980e+00
6.849e+02,-2.896e+01,-2.864e+00,-2.578e+01,-3.005e+00
6.862e+02,-2.896e+01,-2.878e+00,-2.582e+01,-3.030e+00
6.874e+02,-2.897e+01,-2.892e+00,-2.587e+01,-3.055e+00
6.887e+02,-2.898e+01,-2.906e+00,-2.593e+01,-3.080e+00
6.899e+02,-2.900e+01,-2.920e+00,-2.599e+01,-3.105e+00
6.912e+02,-2.902e+01,-2.934e+00,-2.607e+01,-3.130e+00
6.924e+02,-2.904e+01,-2.948e+00,-2.615e+01,-3.155e+00
6.937e+02,-2.907e+01,-2.963e+00,-2.624e+01,-3.180e+00
6.949e+02,-2.910e+01,-2.977e+00,-2.634e+01,-3.205e+00
6.962e+02,-2.913e+01,-2.991e+00,-2.645e+01,-3.229e+00
6.974e+02,-2.917e+01,-3.005e+00,-2.656e+01,-3.254e+00
6.987e+02,-2.922e+01,-3.019e+00,-2.669e+01,-3.278e+00
6.999e+02,-2.927e+01,-3.033e+00,-2.682e+01,-3.302e+00
7.012e+02,-2.932e+01,-3.047e+00,-2.696e+01,-3.326e+00
7.024e+02,-2.937e+01,-3.061e+00,-2.712e+01,-3.350e+00
7.037e+02,-2.944e+01,-3.075e+00,-2.728e+01,-3.373e+00
7.049e+02,-2.950e+01,-3.088e+00,-2.745e+01,-3.397e+00
7.062e+02,-2.957e+01,-3.102e+00,-2.763e+01,-3.420e+00
7.074e+02,-2.964e+01,-3.116e+00,-2.782e+01,-3.443e+00
7.087e+02,-2.972e+01,-3.129e+00,-2.803e+01,-3.465e+00
7.099e+02,-2.980e+01,-3.142e+00,-2.824e+01,-3.487e+00
7.112e+02,-2.989e+01,-3.156e+00,-2.847e+01,-3.509e+00
7.124e+02,-2.998e+01,-3.169e+00,-2.871e+01,-3.530e+00
7.137e+02,-3.008e+01,-3.181e+00,-2.896e+01,-3.551e+00
7.149e+02,-3.018e+01,-3.194e+00,-2.922e+01,-3.571e+00
7.162e+02,-3.028e+01,-3.206e+00,-2.950e+01,-3.590e+00
7.174e+02,-3.039e+01,-3.219e+00,-2.979e+01,-3.609e+00
7.187e+02,-3.050e+01,-3.231e+00,-3.010e+01,-3.627e+00
7.199e+02,-3.062e+01,-3.242e+00,-3.042e+01,-3.644e+00
7.212e+02,-3.074e+01,-3.254e+00,-3.076e+01,-3.660e+00
7.224e+02,-3.087e+01,-3.265e+00,-3.112e+01,-3.675e+00
7.237e+02,-3.100e+01,-3.276e+00,-3.150e+01,-3.688e+00
7.249e+02,-3.114e+01,-3.286e+00,-3.189e+01,-3.701e+00
7.262e+02,-3.128e+01,-3.296e+00,-3.231e+01,-3.711e+00
7.274e+02,-3.143e+01,-3.306e+00,-3.275e+01,-3.719e+00
7.287e+02,-3.158e+01,-3.315e+00,-3.322e+01,-3.725e+00
7.299e+02,-3.173e+01,-3.324e+00,-3.371e+01,-3.728e+00
7.312e+02,-3.189e+01,-3.333e+00,-3.422e+01,-3.728e+00
7.324e+02,-3.206e+01,-3.340e+00,-3.477e+01,-3.725e+00
7.337e+02,-3.223e+01,-3.348e+00,-3.534e+01,-3.716e+00
7.349e+02,-3.240e+01,-3.354e+00,-3.594e+01,-3.702e+00
7.362e+02,-3.258e+01,-3.361e+00,-3.657e+01,-3.682e+00
7.374e+02,-3.276e+01,-3.366e+00,-3.722e+01,-3.654e+00
7.387e+02,-3.295e+01,-3.371e+00,-3.789e+01,-3.617e+00
7.399e+02,-3.315e+01,-3.375e+00,-3.857e+01,-3.568e+00
7.412e+02,-3.334e+01,-3.378e+00,-3.925e+01,-3.507e+00
7.424e+02,-3.355e+01,-3.380e+00,-3.989e+01,-3.432e+00
7.437e+02,-3.375e+01,-3.381e+00,-4.046e+01,-3.341e+00
7.449e+02,-3.396e+01,-3.382e+00,-4.093e+01,-3.235e+00
7.462e+02,-3.417e+01,-3.381e+00,-4.124e+01,-3.118e+00
7.474e+02,-3.439e+01,-3.379e+00,-4.136e+01,-2.994e+00
7.487e+02,-3.461e+01,-3.376e+00,-4.128e+01,-2.870e+00
7.499e+02,-3.483e+01,-3.372e+00,-4.101e+01,-2.753e+00
7.512e+02,-3.506e+01,-3.366e+00,-4.059e+01,-2.649e+00
7.524e+02,-3.528e+01,-3.359e+00,-4.007e+01,-2.559e+00
7.537e+02,-3.551e+01,-3.351e+00,-3.948e+01,-2.485e+00
7.549e+02,-3.573e+01,-3.341e+00,-3.887e+01,-2.425e+00
7.562e+02,-3.595e+01,-3.329e+00,-3.824e+01,-2.377e+00
7.574e+02,-3.618e+01,-3.316e+00,-3.763e+01,-2.341e+00
7.587e+02,-3.639e+01,-3.301e+00,-3.704e+01,-2.314e+00
7.599e+02,-3.660e+01,-3.284e+00,-3.647e+01,-2.294e+00
7.612e+02,-3.681e+01,-3.266e+00,-3.593e+01,-2.281e+00
7.624e+02,-3.700e+01,-3.245e+00,-3.542e+01,-2.273e+00
7.637e+02,-3.719e+01,-3.223e+00,-3.494e+01,-2.269e+00
7.649e+02,-3.737e+01,-3.200e+00,-3.448e+01,-2.270e+00
7.662e+02,-3.753e+01,-3.174e+00,-3.405e+01,-2.273e+00
7.674e+02,-3.767e+01,-3.148e+00,-3.365e+01,-2.279e+00
7.687e+02,-3.780e+01,-3.120e+00,-3.327e+01,-2.288e+00
7.699e+02,-3.791e+01,-3.091e+00,-3.291e+01,-2.298e+00
7.712e+02,-3.800e+01,-3.061e+00,-3.257e+01,-2.310e+00
7.724e+02,-3.807e+01,-3.030e+00,-3.225e+01,-2.324e+00
7.737e+02,-3.811e+01,-2.999e+00,-3.196e+01,-2.339e+00
7.749e+02,-3.814e+01,-2.968e+00,-3.168e+01,-2.355e+00
7.762e+02,-3.814e+01,-2.937e+00,-3.141e+01,-2.372e+00
7.774e+02,-3.812e+01,-2.906e+00,-3.116e+01,-2.390e+00
7.787e+02,-3.808e+01,-2.877e+00,-3.093e+01,-2.409e+00
7.799e+02,-3.802e+01,-2.848e+00,-3.071e+01,-2.429e+00
7.812e+02,-3.795e+01,-2.820e+00,-3.051e+01,-2.449e+00
7.824e+02,-3.785e+01,-2.794e+00,-3.032e+01,-2.470e+00
7.837e+02,-3.774e+01,-2.769e+00,-3.014e+01,-2.491e+00
7.849e+02,-3.762e+01,-2.746e+00,-2.997e+01,-2.513e+00
7.862e+02,-3.749e+01,-2.724e+00,-2.982e+01,-2.535e+00
7.874e+02,-3.735e+01,-2.705e+00,-2.967e+01,-2.557e+00
7.887e+02,-3.720e+01,-2.687e+00,-2.954e+01,-2.580e+00
7.899e+02,-3.704e+01,-2.671e+00,-2.942e+01,-2.603e+00
7.912e+02,-3.688e+01,-2.656e+00,-2.931e+01,-2.626e+00
7.924e+02,-3.671e+01,-2.643e+00,-2.920e+01,-2.650e+00
7.937e+02,-3.654e+01,-2.632e+00,-2.911e+01,-2.674e+00
7.949e+02,-3.638e+01,-2.623e+00,-2.903e+01,-2.698e+00
7.962e+02,-3.621e+01,-2.615e+00,-2.895e+01,-2.722e+00
7.974e+02,-3.604e+01,-2.608e+00,-2.889e+01,-2.746e+00
7.987e+02,-3.587e+01,-2.603e+00,-2.883e+01,-2.770e+00
7.999e+02,-3.571e+01,-2.599e+00,-2.879e+01,-2.795e+00
8.012e+02,-3.554e+01,-2.596e+00,-2.875e+01,-2.820e+00
8.025e+02,-3.539e+01,-2.595e+00,-2.872e+01,-2.845e+00
8.037e+02,-3.523e+01,-2.594e+00,-2.869e+01,-2.869e+00
8.050e+02,-3.508e+01,-2.595e+00,-2.868e+01,-2.894e+00
8.062e+02,-3.493e+01,-2.596e+00,-2.867e+01,-2.919e+00
8.075e+02,-3.478e+01,-2.599e+00,-2.867e+01,-2.944e+00
8.087e+02,-3.465e+01,-2.602e+00,-2.868e+01,-2.969e+00
8.100e+02,-3.451e+01,-2.607e+00,-2.870e+01,-2.994e+00
8.112e+02,-3.438e+01,-2.611e+00,-2.873e+01,-3.019e+00
8.125e+02,-3.425e+01,-2.617e+00,-2.876e+01,-3.045e+00
8.137e+02,-3.413e+01,-2.623e+00,-2.880e+01,-3.070e+00
8.150e+02,-3.402e+01,-2.630e+00,-2.885e+01,-3.095e+00
8.162e+02,-3.390e+01,-2.638e+00,-2.891e+01,-3.120e+00
8.175e+02,-3.380e+01,-2.646e+00,-2.898e+01,-3.144e+00
8.187e+02,-3.370e+01,-2.654e+00,-2.905e+01,-3.169e+00
8.200e+02,-3.360e+01,-2.663e+00,-2.913e+01,-3.194e+00
8.212e+02,-3.351e+01,-2.673e+00,-2.923e+01,-3.219e+00
8.225e+02,-3.342e+01,-2.682e+00,-2.933e+01,-3.243e+00
8.237e+02,-3.334e+01,-2.693e+00,-2.943e+01,-3.268e+00
8.250e+02,-3.326e+01,-2.703e+00,-2.955e+01,-3.292e+00
8.262e+02,-3.318e+01,-2.714e+00,-2.968e+01,-3.316e+00
8.275e+02,-3.311e+01,-2.725e+00,-2.981e+01,-3.340e+00
8.287e+02,-3.305e+01,-2.737e+00,-2.996e+01,-3.364e+00
8.300e+02,-3.299e+01,-2.748e+00,-3.011e+01,-3.388e+00
8.312e+02,-3.294e+01,-2.760e+00,-3.027e+01,-3.411e+00
8.325e+02,-3.289e+01,-2.773e+00,-3.045e+01,-3.434e+00
8.337e+02,-3.284e+01,-2.785e+00,-3.063e+01,-3.457e+00
8.350e+02,-3.280e+01,-2.798e+00,-3.083e+01,-3.480e+00
8.362e+02,-3.276e+01,-2.811e+00,-3.103e+01,-3.502e+00
8.375e+02,-3.273e+01,-2.824e+00,-3.125e+01,-3.524e+00
8.387e+02,-3.270e+01,-2.837e+00,-3.148e+01,-3.545e+00
8.400e+02,-3.268e+01,-2.850e+00,-3.172e+01,-3.566e+00
8.412e+02,-3.266e+01,-2.863e+00,-3.198e+01,-3.586e+00
8.425e+02,-3.264e+01,-2.877e+00,-3.225e+01,-3.606e+00
8.437e+02,-3.263e+01,-2.891e+00,-3.253e+01,-3.625e+00
8.450e+02,-3.263e+01,-2.904e+00,-3.283e+01,-3.643e+00
8.462e+02,-3.262e+01,-2.918e+00,-3.314e+01,-3.660e+00
8.475e+02,-3.263e+01,-2.932e+00,-3.347e+01,-3.676e+00
8.487e+02,-3.263e+01,-2.946e+00,-3.382e+01,-3.692e+00
8.500e+02,-3.264e+01,-2.960e+00,-3.419e+01,-3.706e+00
8.512e+02,-3.266e+01,-2.974e+00,-3.457e+01,-3.718e+00
8.525e+02,-3.268e+01,-2.988e+00,-3.498e+01,-3.729e+00
8.537e+02,-3.270e+01,-3.002e+00,-3.541e+01,-3.738e+00
8.550e+02,-3.273e+01,-3.016e+00,-3.587e+01,-3.744e+00
8.562e+02,-3.276e+01,-3.030e+00,-3.634e+01,-3.748e+00
8.575e+02,-3.280e+01,-3.044e+00,-3.685e+01,-3.749e+00
8.587e+02,-3.284e+01,-3.058e+00,-3.738e+01,-3.747e+00
8.600e+02,-3.288e+01,-3.072e+00,-3.794e+01,-3.740e+00
8.612e+02,-3.293e+01,-3.086e+00,-3.853e+01,-3.727e+00
8.625e+02,-3.298e+01,-3.099e+00,-3.914e+01,-3.709e+00
8.637e+02,-3.304e+01,-3.113e+00,-3.979e+01,-3.683e+00
8.650e+02,-3.310e+01,-3.127e+00,-4.045e+01,-3.649e+00
8.662e+02,-3.317e+01,-3.140e+00,-4.112e+01,-3.603e+00
8.675e+02,-3.324e+01,-3.154e+00,-4.180e+01,-3.546e+00
8.687e+02,-3.332e+01,-3.167e+00,-4.245e+01,-3.474e+00
8.700e+02,-3.339e+01,-3.180e+00,-4.304e+01,-3.387e+00
8.712e+02,-3.348e+01,-3.193e+00,-4.353e+01,-3.286e+00
8.725e+02,-3.357e+01,-3.206e+00,-4.388e+01,-3.171e+00
8.737e+02,-3.366e+01,-3.218e+00,-4.405e+01,-3.048e+00
8.750e+02,-3.376e+01,-3.231e+00,-4.402e+01,-2.923e+00
8.762e+02,-3.386e+01,-3.243e+00,-4.380e+01,-2.804e+00
8.775e+02,-3.396e+01,-3.255e+00,-4.341e+01,-2.696e+00
8.787e+02,-3.407e+01,-3.267e+00,-4.291e+01,-2.603e+00
8.800e+02,-3.419e+01,-3.278e+00,-4.233e+01,-2.524e+00
8.812e+02,-3.431e+01,-3.289e+00,-4.172e+01,-2.460e+00
8.825e+02,-3.443e+01,-3.300e+00,-4.109e+01,-2.410e+00
8.837e+02,-3.456e+01,-3.311e+00,-4.047e+01,-2.371e+00
8.850e+02,-3.470e+01,-3.321e+00,-3.987e+01,-2.341e+00
8.862e+02,-3.484e+01,-3.330e+00,-3.929e+01,-2.319e+00
8.875e+02,-3.498e+01,-3.340e+00,-3.874e+01,-2.304e+00
8.887e+02,-3.513e+01,-3.349e+00,-3.822e+01,-2.295e+00
8.900e+02,-3.528e+01,-3.357e+00,-3.772e+01,-2.291e+00
8.912e+02,-3.544e+01,-3.365e+00,-3.725e+01,-2.290e+00
8.925e+02,-3.560e+01,-3.372e+00,-3.681e+01,-2.293e+00
8.937e+02,-3.577e+01,-3.379e+00,-3.640e+01,-2.298e+00
8.950e+02,-3.594e+01,-3.385e+00,-3.601e+01,-2.306e+00
8.962e+02,-3.612e+01,-3.391e+00,-3.564e+01,-2.316e+00
8.975e+02,-3.630e+01,-3.396e+00,-3.529e+01,-2.328e+00
