w,A_A,p_A,A_B,p_B
1.048e+02,-7.165e-01,-1.270e+00,4.210e+00,-1.337e+00
1.060e+02,-7.472e-01,-1.287e+00,4.183e+00,-1.363e+00
1.073e+02,-7.789e-01,-1.304e+00,4.154e+00,-1.389e+00
1.085e+02,-8.114e-01,-1.321e+00,4.122e+00,-1.415e+00
1.098e+02,-8.448e-01,-1.338e+00,4.088e+00,-1.441e+00
1.110e+02,-8.791e-01,-1.356e+00,4.051e+00,-1.467e+00
1.123e+02,-9.144e-01,-1.373e+00,4.012e+00,-1.494e+00
1.135e+02,-9.506e-01,-1.390e+00,3.969e+00,-1.520e+00
1.148e+02,-9.878e-01,-1.407e+00,3.925e+00,-1.546e+00
1.160e+02,-1.026e+00,-1.425e+00,3.877e+00,-1.573e+00
1.173e+02,-1.065e+00,-1.442e+00,3.827e+00,-1.599e+00
1.185e+02,-1.105e+00,-1.460e+00,3.774e+00,-1.626e+00
1.198e+02,-1.146e+00,-1.477e+00,3.719e+00,-1.652e+00
1.210e+02,-1.188e+00,-1.495e+00,3.661e+00,-1.679e+00
1.223e+02,-1.231e+00,-1.512e+00,3.600e+00,-1.705e+00
1.235e+02,-1.275e+00,-1.530e+00,3.537e+00,-1.732e+00
1.248e+02,-1.321e+00,-1.547e+00,3.470e+00,-1.758e+00
1.260e+02,-1.367e+00,-1.565e+00,3.401e+00,-1.785e+00
1.273e+02,-1.414e+00,-1.583e+00,3.329e+00,-1.812e+00
1.285e+02,-1.463e+00,-1.600e+00,3.254e+00,-1.839e+00
1.298e+02,-1.512e+00,-1.618e+00,3.177e+00,-1.865e+00
1.310e+02,-1.563e+00,-1.636e+00,3.096e+00,-1.892e+00
1.323e+02,-1.615e+00,-1.653e+00,3.013e+00,-1.919e+00
1.335e+02,-1.667e+00,-1.671e+00,2.927e+00,-1.946e+00
1.348e+02,-1.722e+00,-1.689e+00,2.837e+00,-1.973e+00
1.360e+02,-1.777e+00,-1.707e+00,2.745e+00,-1.999e+00
1.373e+02,-1.833e+00,-1.725e+00,2.650e+00,-2.026e+00
1.385e+02,-1.891e+00,-1.742e+00,2.551e+00,-2.053e+00
1.398e+02,-1.949e+00,-1.760e+00,2.450e+00,-2.080e+00
1.410e+02,-2.009e+00,-1.778e+00,2.345e+00,-2.107e+00
1.423e+02,-2.071e+00,-1.796e+00,2.238e+00,-2.134e+00
1.435e+02,-2.133e+00,-1.814e+00,2.127e+00,-2.161e+00
1.448e+02,-2.197e+00,-1.832e+00,2.012e+00,-2.187e+00
1.460e+02,-2.262e+00,-1.850e+00,1.895e+00,-2.214e+00
1.473e+02,-2.328e+00,-1.868e+00,1.774e+00,-2.241e+00
1.485e+02,-2.396e+00,-1.886e+00,1.649e+00,-2.268e+00
1.498e+02,-2.464e+00,-1.904e+00,1.521e+00,-2.295e+00
1.510e+02,-2.535e+00,-1.922e+00,1.390e+00,-2.322e+00
1.523e+02,-2.606e+00,-1.940e+00,1.255e+00,-2.348e+00
1.535e+02,-2.679e+00,-1.958e+00,1.116e+00,-2.375e+00
1.548e+02,-2.753e+00,-1.976e+00,9.737e-01,-2.402e+00
1.560e+02,-2.829e+00,-1.994e+00,8.275e-01,-2.429e+00
1.573e+02,-2.906e+00,-2.012e+00,6.774e-01,-2.455e+00
1.585e+02,-2.985e+00,-2.030e+00,5.234e-01,-2.482e+00
1.598e+02,-3.065e+00,-2.048e+00,3.653e-01,-2.509e+00
1.610e+02,-3.146e+00,-2.066e+00,2.031e-01,-2.535e+00
1.623e+02,-3.229e+00,-2.084e+00,3.665e-02,-2.562e+00
1.635e+02,-3.314e+00,-2.102e+00,-1.341e-01,-2.588e+00
1.648e+02,-3.399e+00,-2.120e+00,-3.092e-01,-2.614e+00
1.660e+02,-3.487e+00,-2.138e+00,-4.889e-01,-2.641e+00
1.673e+02,-3.576e+00,-2.156e+00,-6.733e-01,-2.667e+00
1.685e+02,-3.666e+00,-2.174e+00,-8.623e-01,-2.693e+00
1.698e+02,-3.759e+00,-2.192e+00,-1.056e+00,-2.719e+00
1.710e+02,-3.852e+00,-2.210e+00,-1.255e+00,-2.745e+00
1.723e+02,-3.948e+00,-2.227e+00,-1.459e+00,-2.771e+00
1.735e+02,-4.045e+00,-2.245e+00,-1.669e+00,-2.797e+00
1.748e+02,-4.144e+00,-2.263e+00,-1.884e+00,-2.823e+00
1.760e+02,-4.244e+00,-2.281e+00,-2.105e+00,-2.848e+00
1.773e+02,-4.346e+00,-2.299e+00,-2.331e+00,-2.873e+00
1.785e+02,-4.450e+00,-2.317e+00,-2.564e+00,-2.899e+00
1.798e+02,-4.556e+00,-2.334e+00,-2.802e+00,-2.924e+00
1.810e+02,-4.663e+00,-2.352e+00,-3.048e+00,-2.949e+00
1.823e+02,-4.773e+00,-2.370e+00,-3.300e+00,-2.973e+00
1.835e+02,-4.884e+00,-2.387e+00,-3.559e+00,-2.998e+00
1.848e+02,-4.997e+00,-2.405e+00,-3.825e+00,-3.022e+00
1.860e+02,-5.112e+00,-2.423e+00,-4.099e+00,-3.046e+00
1.873e+02,-5.228e+00,-2.440e+00,-4.380e+00,-3.070e+00
1.885e+02,-5.347e+00,-2.458e+00,-4.670e+00,-3.094e+00
1.898e+02,-5.468e+00,-2.475e+00,-4.968e+00,-3.117e+00
1.910e+02,-5.591e+00,-2.492e+00,-5.276e+00,-3.140e+00
1.923e+02,-5.715e+00,-2.510e+00,-5.593e+00,-3.162e+00
1.935e+02,-5.842e+00,-2.527e+00,-5.919e+00,-3.184e+00
1.948e+02,-5.971e+00,-2.544e+00,-6.256e+00,-3.206e+00
1.960e+02,-6.102e+00,-2.561e+00,-6.604e+00,-3.227e+00
1.973e+02,-6.236e+00,-2.578e+00,-6.964e+00,-3.247e+00
1.985e+02,-6.371e+00,-2.595e+00,-7.335e+00,-3.267e+00
1.998e+02,-6.509e+00,-2.612e+00,-7.720e+00,-3.286e+00
2.011e+02,-6.649e+00,-2.629e+00,-8.118e+00,-3.304e+00
2.023e+02,-6.791e+00,-2.646e+00,-8.530e+00,-3.322e+00
2.036e+02,-6.936e+00,-2.662e+00,-8.958e+00,-3.338e+00
2.048e+02,-7.083e+00,-2.679e+00,-9.402e+00,-3.353e+00
2.061e+02,-7.233e+00,-2.695e+00,-9.864e+00,-3.367e+00
2.073e+02,-7.385e+00,-2.712e+00,-1.034e+01,-3.380e+00
2.086e+02,-7.539e+00,-2.728e+00,-1.084e+01,-3.391e+00
2.098e+02,-7.697e+00,-2.744e+00,-1.137e+01,-3.400e+00
2.111e+02,-7.856e+00,-2.760e+00,-1.191e+01,-3.406e+00
2.123e+02,-8.019e+00,-2.776e+00,-1.248e+01,-3.410e+00
2.136e+02,-8.184e+00,-2.791e+00,-1.307e+01,-3.411e+00
2.148e+02,-8.352e+00,-2.807e+00,-1.369e+01,-3.408e+00
2.161e+02,-8.523e+00,-2.822e+00,-1.433e+01,-3.400e+00
2.173e+02,-8.696e+00,-2.837e+00,-1.501e+01,-3.388e+00
2.186e+02,-8.873e+00,-2.852e+00,-1.571e+01,-3.369e+00
2.198e+02,-9.053e+00,-2.867e+00,-1.643e+01,-3.342e+00
2.211e+02,-9.235e+00,-2.882e+00,-1.718e+01,-3.307e+00
2.223e+02,-9.421e+00,-2.896e+00,-1.793e+01,-3.260e+00
2.236e+02,-9.610e+00,-2.910e+00,-1.868e+01,-3.201e+00
2.248e+02,-9.802e+00,-2.924e+00,-1.941e+01,-3.128e+00
2.261e+02,-9.997e+00,-2.938e+00,-2.007e+01,-3.039e+00
2.273e+02,-1.020e+01,-2.951e+00,-2.063e+01,-2.936e+00
2.286e+02,-1.040e+01,-2.964e+00,-2.104e+01,-2.819e+00
2.298e+02,-1.060e+01,-2.977e+00,-2.126e+01,-2.695e+00
2.311e+02,-1.081e+01,-2.990e+00,-2.128e+01,-2.570e+00
2.323e+02,-1.103e+01,-3.002e+00,-2.110e+01,-2.451e+00
2.336e+02,-1.124e+01,-3.014e+00,-2.076e+01,-2.344e+00
2.348e+02,-1.146e+01,-3.025e+00,-2.031e+01,-2.252e+00
2.361e+02,-1.169e+01,-3.036e+00,-1.979e+01,-2.175e+00
2.373e+02,-1.191e+01,-3.047e+00,-1.924e+01,-2.112e+00
2.386e+02,-1.214e+01,-3.057e+00,-1.867e+01,-2.063e+00
2.398e+02,-1.238e+01,-3.067e+00,-1.811e+01,-2.025e+00
2.411e+02,-1.262e+01,-3.076e+00,-1.757e+01,-1.996e+00
2.423e+02,-1.286e+01,-3.084e+00,-1.705e+01,-1.975e+00
2.436e+02,-1.311e+01,-3.093e+00,-1.657e+01,-1.961e+00
2.448e+02,-1.336e+01,-3.100e+00,-1.610e+01,-1.953e+00
2.461e+02,-1.362e+01,-3.107e+00,-1.567e+01,-1.949e+00
2.473e+02,-1.387e+01,-3.113e+00,-1.526e+01,-1.948e+00
2.486e+02,-1.414e+01,-3.118e+00,-1.488e+01,-1.951e+00
2.498e+02,-1.441e+01,-3.123e+00,-1.453e+01,-1.957e+00
2.511e+02,-1.468e+01,-3.127e+00,-1.419e+01,-1.965e+00
2.523e+02,-1.495e+01,-3.129e+00,-1.388e+01,-1.976e+00
2.536e+02,-1.523e+01,-3.131e+00,-1.359e+01,-1.988e+00
2.548e+02,-1.551e+01,-3.132e+00,-1.332e+01,-2.001e+00
2.561e+02,-1.579e+01,-3.132e+00,-1.307e+01,-2.016e+00
2.573e+02,-1.608e+01,-3.130e+00,-1.283e+01,-2.032e+00
2.586e+02,-1.637e+01,-3.128e+00,-1.261e+01,-2.049e+00
2.598e+02,-1.666e+01,-3.124e+00,-1.241e+01,-2.067e+00
2.611e+02,-1.696e+01,-3.118e+00,-1.222e+01,-2.086e+00
2.623e+02,-1.725e+01,-3.112e+00,-1.204e+01,-2.105e+00
2.636e+02,-1.754e+01,-3.103e+00,-1.188e+01,-2.126e+00
2.648e+02,-1.784e+01,-3.093e+00,-1.173e+01,-2.146e+00
2.661e+02,-1.813e+01,-3.082e+00,-1.159e+01,-2.168e+00
2.673e+02,-1.841e+01,-3.068e+00,-1.146e+01,-2.189e+00
2.686e+02,-1.870e+01,-3.053e+00,-1.135e+01,-2.211e+00
2.698e+02,-1.898e+01,-3.036e+00,-1.124e+01,-2.234e+00
2.711e+02,-1.925e+01,-3.017e+00,-1.115e+01,-2.257e+00
2.723e+02,-1.951e+01,-2.996e+00,-1.106e+01,-2.280e+00
2.736e+02,-1.976e+01,-2.974e+00,-1.099e+01,-2.303e+00
2.748e+02,-1.999e+01,-2.949e+00,-1.092e+01,-2.327e+00
2.761e+02,-2.022e+01,-2.923e+00,-1.086e+01,-2.351e+00
2.773e+02,-2.042e+01,-2.895e+00,-1.081e+01,-2.375e+00
2.786e+02,-2.061e+01,-2.866e+00,-1.077e+01,-2.399e+00
2.798e+02,-2.077e+01,-2.836e+00,-1.074e+01,-2.424e+00
2.811e+02,-2.092e+01,-2.804e+00,-1.072e+01,-2.448e+00
2.823e+02,-2.104e+01,-2.772e+00,-1.070e+01,-2.473e+00
2.836e+02,-2.114e+01,-2.740e+00,-1.069e+01,-2.498e+00
2.848e+02,-2.121e+01,-2.707e+00,-1.069e+01,-2.523e+00
2.861e+02,-2.126e+01,-2.675e+00,-1.069e+01,-2.548e+00
2.873e+02,-2.129e+01,-2.643e+00,-1.071e+01,-2.573e+00
2.886e+02,-2.129e+01,-2.612e+00,-1.073e+01,-2.598e+00
2.898e+02,-2.127e+01,-2.582e+00,-1.076e+01,-2.624e+00
2.911e+02,-2.124e+01,-2.553e+00,-1.079e+01,-2.649e+00
2.923e+02,-2.118e+01,-2.526e+00,-1.083e+01,-2.674e+00
2.936e+02,-2.111e+01,-2.500e+00,-1.088e+01,-2.700e+00
2.948e+02,-2.103e+01,-2.476e+00,-1.094e+01,-2.725e+00
2.961e+02,-2.093e+01,-2.454e+00,-1.100e+01,-2.751e+00
2.973e+02,-2.082e+01,-2.434e+00,-1.107e+01,-2.776e+00
2.986e+02,-2.071e+01,-2.416e+00,-1.115e+01,-2.802e+00
2.998e+02,-2.058e+01,-2.399e+00,-1.123e+01,-2.827e+00
3.011e+02,-2.045e+01,-2.384e+00,-1.132e+01,-2.853e+00
3.023e+02,-2.032e+01,-2.371e+00,-1.142e+01,-2.878e+00
3.036e+02,-2.019e+01,-2.360e+00,-1.153e+01,-2.903e+00
3.048e+02,-2.005e+01,-2.350e+00,-1.164e+01,-2.929e+00
3.061e+02,-1.992e+01,-2.342e+00,-1.176e+01,-2.954e+00
