w,A,u,m,p
2.112e+02,-4.158e+00,-3.442e+00,-9.462e+00,-2.112e+00
2.137e+02,-4.266e+00,-3.646e+00,-9.667e+00,-2.137e+00
2.162e+02,-4.375e+00,-3.849e+00,-9.869e+00,-2.162e+00
2.187e+02,-4.485e+00,-4.049e+00,-1.007e+01,-2.187e+00
2.212e+02,-4.598e+00,-4.246e+00,-1.027e+01,-2.212e+00
2.237e+02,-4.712e+00,-4.442e+00,-1.046e+01,-2.237e+00
2.262e+02,-4.828e+00,-4.635e+00,-1.066e+01,-2.262e+00
2.287e+02,-4.946e+00,-4.826e+00,-1.085e+01,-2.287e+00
2.312e+02,-5.066e+00,-5.015e+00,-1.104e+01,-2.312e+00
2.337e+02,-5.188e+00,-5.202e+00,-1.122e+01,-2.337e+00
2.362e+02,-5.311e+00,-5.387e+00,-1.141e+01,-2.362e+00
2.387e+02,-5.437e+00,-5.570e+00,-1.159e+01,-2.387e+00
2.412e+02,-5.564e+00,-5.751e+00,-1.177e+01,-2.412e+00
2.437e+02,-5.694e+00,-5.931e+00,-1.195e+01,-2.437e+00
2.462e+02,-5.825e+00,-6.108e+00,-1.213e+01,-2.462e+00
2.487e+02,-5.959e+00,-6.284e+00,-1.230e+01,-2.487e+00
2.512e+02,-6.095e+00,-6.458e+00,-1.248e+01,-2.512e+00
2.537e+02,-6.233e+00,-6.630e+00,-1.265e+01,-2.537e+00
2.562e+02,-6.373e+00,-6.800e+00,-1.282e+01,-2.562e+00
2.587e+02,-6.515e+00,-6.969e+00,-1.299e+01,-2.587e+00
2.612e+02,-6.659e+00,-7.136e+00,-1.316e+01,-2.612e+00
2.637e+02,-6.806e+00,-7.302e+00,-1.332e+01,-2.637e+00
2.662e+02,-6.955e+00,-7.466e+00,-1.349e+01,-2.662e+00
2.687e+02,-7.107e+00,-7.628e+00,-1.365e+01,-2.687e+00
2.712e+02,-7.261e+00,-7.789e+00,-1.381e+01,-2.712e+00
2.737e+02,-7.417e+00,-7.949e+00,-1.397e+01,-2.737e+00
2.762e+02,-7.576e+00,-8.107e+00,-1.413e+01,-2.762e+00
2.787e+02,-7.738e+00,-8.264e+00,-1.428e+01,-2.787e+00
2.812e+02,-7.902e+00,-8.419e+00,-1.444e+01,-2.812e+00
2.837e+02,-8.069e+00,-8.573e+00,-1.459e+01,-2.837e+00
2.862e+02,-8.239e+00,-8.725e+00,-1.475e+01,-2.862e+00
2.887e+02,-8.411e+00,-8.876e+00,-1.490e+01,-2.887e+00
2.912e+02,-8.587e+00,-9.026e+00,-1.505e+01,-2.912e+00
2.937e+02,-8.765e+00,-9.175e+00,-1.520e+01,-2.937e+00
2.962e+02,-8.947e+00,-9.322e+00,-1.534e+01,-2.962e+00
2.987e+02,-9.131e+00,-9.468e+00,-1.549e+01,-2.987e+00
3.012e+02,-9.319e+00,-9.613e+00,-1.563e+01,-3.012e+00
3.037e+02,-9.510e+00,-9.757e+00,-1.578e+01,-3.037e+00
3.062e+02,-9.704e+00,-9.899e+00,-1.592e+01,-3.062e+00
3.087e+02,-9.902e+00,-1.004e+01,-1.606e+01,-3.087e+00
3.112e+02,-1.010e+01,-1.018e+01,-1.620e+01,-3.112e+00
3.137e+02,-1.031e+01,-1.032e+01,-1.634e+01,-3.137e+00
3.162e+02,-1.052e+01,-1.046e+01,-1.648e+01,-3.162e+00
3.187e+02,-1.073e+01,-1.059e+01,-1.662e+01,-3.187e+00
3.212e+02,-1.095e+01,-1.073e+01,-1.675e+01,-3.212e+00
3.237e+02,-1.117e+01,-1.087e+01,-1.689e+01,-3.237e+00
3.262e+02,-1.139e+01,-1.100e+01,-1.702e+01,-3.262e+00
3.287e+02,-1.162e+01,-1.113e+01,-1.715e+01,-3.287e+00
3.312e+02,-1.186e+01,-1.126e+01,-1.728e+01,-3.312e+00
3.337e+02,-1.209e+01,-1.139e+01,-1.742e+01,-3.337e+00
3.363e+02,-1.234e+01,-1.152e+01,-1.754e+01,-3.363e+00
3.388e+02,-1.259e+01,-1.165e+01,-1.767e+01,-3.388e+00
3.413e+02,-1.284e+01,-1.178e+01,-1.780e+01,-3.413e+00
3.438e+02,-1.310e+01,-1.191e+01,-1.793e+01,-3.438e+00
3.463e+02,-1.337e+01,-1.203e+01,-1.805e+01,-3.463e+00
3.488e+02,-1.364e+01,-1.216e+01,-1.818e+01,-3.488e+00
3.513e+02,-1.391e+01,-1.228e+01,-1.830e+01,-3.513e+00
3.538e+02,-1.420e+01,-1.241e+01,-1.843e+01,-3.538e+00
3.563e+02,-1.449e+01,-1.253e+01,-1.855e+01,-3.563e+00
3.588e+02,-1.479e+01,-1.265e+01,-1.867e+01,-3.588e+00
3.613e+02,-1.509e+01,-1.277e+01,-1.879e+01,-3.613e+00
3.638e+02,-1.541e+01,-1.289e+01,-1.891e+01,-3.638e+00
3.663e+02,-1.573e+01,-1.301e+01,-1.903e+01,-3.663e+00
3.688e+02,-1.606e+01,-1.313e+01,-1.915e+01,-3.688e+00
3.713e+02,-1.640e+01,-1.325e+01,-1.927e+01,-3.713e+00
3.738e+02,-1.675e+01,-1.336e+01,-1.938e+01,-3.738e+00
3.763e+02,-1.711e+01,-1.348e+01,-1.950e+01,-3.763e+00
3.788e+02,-1.748e+01,-1.359e+01,-1.961e+01,-3.788e+00
3.813e+02,-1.786e+01,-1.371e+01,-1.973e+01,-3.813e+00
3.838e+02,-1.826e+01,-1.382e+01,-1.984e+01,-3.838e+00
3.863e+02,-1.867e+01,-1.393e+01,-1.995e+01,-3.863e+00
3.888e+02,-1.909e+01,-1.405e+01,-2.007e+01,-3.888e+00
3.913e+02,-1.953e+01,-1.416e+01,-2.018e+01,-3.913e+00
3.938e+02,-1.999e+01,-1.427e+01,-2.029e+01,-3.938e+00
3.963e+02,-2.046e+01,-1.438e+01,-2.040e+01,-3.963e+00
3.988e+02,-2.096e+01,-1.449e+01,-2.051e+01,-3.988e+00
4.013e+02,-2.147e+01,-1.460e+01,-2.062e+01,-4.013e+00
4.038e+02,-2.202e+01,-1.470e+01,-2.072e+01,-4.038e+00
4.063e+02,-2.258e+01,-1.481e+01,-2.083e+01,-4.063e+00
4.088e+02,-2.318e+01,-1.492e+01,-2.094e+01,-4.088e+00
4.113e+02,-2.382e+01,-1.502e+01,-2.104e+01,-4.113e+00
4.138e+02,-2.449e+01,-1.513e+01,-2.115e+01,-4.138e+00
4.163e+02,-2.521e+01,-1.523e+01,-2.125e+01,-4.163e+00
4.188e+02,-2.598e+01,-1.534e+01,-2.136e+01,-4.188e+00
4.213e+02,-2.680e+01,-1.544e+01,-2.146e+01,-4.213e+00
4.238e+02,-2.770e+01,-1.554e+01,-2.157e+01,-4.238e+00
4.263e+02,-2.868e+01,-1.565e+01,-2.167e+01,-4.263e+00
4.288e+02,-2.977e+01,-1.575e+01,-2.177e+01,-4.288e+00
4.313e+02,-3.099e+01,-1.585e+01,-2.187e+01,-4.313e+00
4.338e+02,-3.238e+01,-1.595e+01,-2.197e+01,-4.338e+00
4.363e+02,-3.399e+01,-1.605e+01,-2.207e+01,-4.363e+00
4.388e+02,-3.594e+01,-1.615e+01,-2.217e+01,-4.388e+00
4.413e+02,-3.839e+01,-1.625e+01,-2.227e+01,-4.413e+00
4.438e+02,-4.174e+01,-1.635e+01,-2.237e+01,-4.438e+00
4.463e+02,-4.709e+01,-1.644e+01,-2.246e+01,-4.463e+00
4.488e+02,-6.269e+01,-1.654e+01,-2.256e+01,-4.488e+00
4.513e+02,-5.084e+01,-1.664e+01,-2.266e+01,-1.372e+00
4.538e+02,-4.388e+01,-1.673e+01,-2.275e+01,-1.397e+00
4.563e+02,-4.014e+01,-1.683e+01,-2.285e+01,-1.422e+00
4.588e+02,-3.759e+01,-1.692e+01,-2.294e+01,-1.447e+00
4.613e+02,-3.566e+01,-1.702e+01,-2.304e+01,-1.472e+00
4.638e+02,-3.412e+01,-1.711e+01,-2.313e+01,-1.497e+00
4.663e+02,-3.284e+01,-1.721e+01,-2.323e+01,-1.522e+00
4.689e+02,-3.175e+01,-1.730e+01,-2.332e+01,-1.547e+00
4.714e+02,-3.081e+01,-1.739e+01,-2.341e+01,-1.572e+00
4.739e+02,-2.998e+01,-1.748e+01,-2.350e+01,-1.597e+00
4.764e+02,-2.925e+01,-1.757e+01,-2.360e+01,-1.622e+00
4.789e+02,-2.859e+01,-1.767e+01,-2.369e+01,-1.647e+00
4.814e+02,-2.799e+01,-1.776e+01,-2.378e+01,-1.672e+00
4.839e+02,-2.745e+01,-1.785e+01,-2.387e+01,-1.697e+00
4.864e+02,-2.696e+01,-1.794e+01,-2.396e+01,-1.722e+00
4.889e+02,-2.650e+01,-1.803e+01,-2.405e+01,-1.747e+00
4.914e+02,-2.609e+01,-1.811e+01,-2.413e+01,-1.772e+00
4.939e+02,-2.570e+01,-1.820e+01,-2.422e+01,-1.797e+00
4.964e+02,-2.535e+01,-1.829e+01,-2.431e+01,-1.822e+00
4.989e+02,-2.502e+01,-1.838e+01,-2.440e+01,-1.847e+00
5.014e+02,-2.471e+01,-1.846e+01,-2.448e+01,-1.872e+00
5.039e+02,-2.442e+01,-1.855e+01,-2.457e+01,-1.897e+00
5.064e+02,-2.416e+01,-1.864e+01,-2.466e+01,-1.922e+00
5.089e+02,-2.391e+01,-1.872e+01,-2.474e+01,-1.947e+00
5.114e+02,-2.368e+01,-1.881e+01,-2.483e+01,-1.972e+00
5.139e+02,-2.346e+01,-1.889e+01,-2.491e+01,-1.997e+00
5.164e+02,-2.326e+01,-1.898e+01,-2.500e+01,-2.022e+00
5.189e+02,-2.307e+01,-1.906e+01,-2.508e+01,-2.047e+00
5.214e+02,-2.290e+01,-1.914e+01,-2.516e+01,-2.072e+00
5.239e+02,-2.274e+01,-1.923e+01,-2.525e+01,-2.097e+00
5.264e+02,-2.259e+01,-1.931e+01,-2.533e+01,-2.122e+00
5.289e+02,-2.245e+01,-1.939e+01,-2.541e+01,-2.147e+00
5.314e+02,-2.231e+01,-1.947e+01,-2.549e+01,-2.172e+00
5.339e+02,-2.219e+01,-1.956e+01,-2.558e+01,-2.197e+00
5.364e+02,-2.208e+01,-1.964e+01,-2.566e+01,-2.222e+00
5.389e+02,-2.198e+01,-1.972e+01,-2.574e+01,-2.247e+00
5.414e+02,-2.188e+01,-1.980e+01,-2.582e+01,-2.272e+00
5.439e+02,-2.180e+01,-1.988e+01,-2.590e+01,-2.297e+00
5.464e+02,-2.172e+01,-1.996e+01,-2.598e+01,-2.322e+00
5.489e+02,-2.165e+01,-2.004e+01,-2.606e+01,-2.348e+00
5.514e+02,-2.158e+01,-2.012e+01,-2.614e+01,-2.373e+00
5.539e+02,-2.153e+01,-2.020e+01,-2.622e+01,-2.398e+00
5.564e+02,-2.147e+01,-2.027e+01,-2.629e+01,-2.423e+00
5.589e+02,-2.143e+01,-2.035e+01,-2.637e+01,-2.448e+00
5.614e+02,-2.139e+01,-2.043e+01,-2.645e+01,-2.473e+00
5.639e+02,-2.136e+01,-2.051e+01,-2.653e+01,-2.498e+00
5.664e+02,-2.134e+01,-2.058e+01,-2.660e+01,-2.523e+00
5.689e+02,-2.132e+01,-2.066e+01,-2.668e+01,-2.548e+00
5.714e+02,-2.130e+01,-2.074e+01,-2.676e+01,-2.573e+00
5.739e+02,-2.130e+01,-2.081e+01,-2.683e+01,-2.598e+00
5.764e+02,-2.129e+01,-2.089e+01,-2.691e+01,-2.623e+00
5.789e+02,-2.130e+01,-2.096e+01,-2.698e+01,-2.648e+00
5.814e+02,-2.130e+01,-2.104e+01,-2.706e+01,-2.673e+00
5.839e+02,-2.132e+01,-2.111e+01,-2.713e+01,-2.698e+00
5.864e+02,-2.134e+01,-2.119e+01,-2.721e+01,-2.723e+00
5.889e+02,-2.136e+01,-2.126e+01,-2.728e+01,-2.748e+00
5.914e+02,-2.139e+01,-2.133e+01,-2.735e+01,-2.773e+00
5.939e+02,-2.142e+01,-2.141e+01,-2.743e+01,-2.798e+00
5.964e+02,-2.146e+01,-2.148e+01,-2.750e+01,-2.823e+00
5.989e+02,-2.151e+01,-2.155e+01,-2.757e+01,-2.848e+00
6.015e+02,-2.155e+01,-2.163e+01,-2.765e+01,-2.873e+00
6.040e+02,-2.161e+01,-2.170e+01,-2.772e+01,-2.898e+00
6.065e+02,-2.167e+01,-2.177e+01,-2.779e+01,-2.923e+00
6.090e+02,-2.173e+01,-2.184e+01,-2.786e+01,-2.948e+00
6.115e+02,-2.180e+01,-2.191e+01,-2.793e+01,-2.973e+00
6.140e+02,-2.187e+01,-2.198e+01,-2.800e+01,-2.998e+00
6.165e+02,-2.195e+01,-2.205e+01,-2.807e+01,-3.023e+00
6.190e+02,-2.203e+01,-2.212e+01,-2.814e+01,-3.048e+00
6.215e+02,-2.212e+01,-2.219e+01,-2.821e+01,-3.073e+00
6.240e+02,-2.221e+01,-2.226e+01,-2.828e+01,-3.098e+00
6.265e+02,-2.231e+01,-2.233e+01,-2.835e+01,-3.123e+00
6.290e+02,-2.241e+01,-2.240e+01,-2.842e+01,-3.148e+00
6.315e+02,-2.252e+01,-2.247e+01,-2.849e+01,-3.173e+00
6.340e+02,-2.263e+01,-2.254e+01,-2.856e+01,-3.198e+00
6.365e+02,-2.275e+01,-2.261e+01,-2.863e+01,-3.223e+00
6.390e+02,-2.287e+01,-2.268e+01,-2.870e+01,-3.248e+00
6.415e+02,-2.300e+01,-2.274e+01,-2.877e+01,-3.273e+00
6.440e+02,-2.314e+01,-2.281e+01,-2.883e+01,-3.298e+00
6.465e+02,-2.327e+01,-2.288e+01,-2.890e+01,-3.323e+00
6.490e+02,-2.342e+01,-2.295e+01,-2.897e+01,-3.348e+00
6.515e+02,-2.357e+01,-2.301e+01,-2.903e+01,-3.373e+00
6.540e+02,-2.373e+01,-2.308e+01,-2.910e+01,-3.398e+00
