w,A,p
1.271e+02,6.652e-03,-5.279e+00
1.273e+02,6.492e-03,-5.297e+00
1.275e+02,6.331e-03,-5.315e+00
1.277e+02,6.169e-03,-5.334e+00
1.279e+02,6.007e-03,-5.352e+00
1.281e+02,5.844e-03,-5.370e+00
1.283e+02,5.681e-03,-5.388e+00
1.285e+02,5.518e-03,-5.406e+00
1.287e+02,5.354e-03,-5.425e+00
1.289e+02,5.190e-03,-5.443e+00
1.291e+02,5.026e-03,-5.461e+00
1.293e+02,4.861e-03,-5.479e+00
1.295e+02,4.697e-03,-5.498e+00
1.297e+02,4.533e-03,-5.516e+00
1.299e+02,4.368e-03,-5.534e+00
1.301e+02,4.204e-03,-5.552e+00
1.303e+02,4.040e-03,-5.570e+00
1.305e+02,3.876e-03,-5.589e+00
1.307e+02,3.712e-03,-5.607e+00
1.309e+02,3.548e-03,-5.625e+00
1.311e+02,3.385e-03,-5.643e+00
1.313e+02,3.222e-03,-5.661e+00
1.315e+02,3.060e-03,-5.680e+00
1.317e+02,2.898e-03,-5.698e+00
1.319e+02,2.736e-03,-5.716e+00
1.321e+02,2.575e-03,-5.734e+00
1.323e+02,2.415e-03,-5.752e+00
1.325e+02,2.255e-03,-5.771e+00
1.327e+02,2.097e-03,-5.789e+00
1.329e+02,1.938e-03,-5.807e+00
1.331e+02,1.781e-03,-5.825e+00
1.333e+02,1.624e-03,-5.843e+00
1.335e+02,1.469e-03,-5.862e+00
1.337e+02,1.314e-03,-5.880e+00
1.339e+02,1.160e-03,-5.898e+00
1.341e+02,1.007e-03,-5.916e+00
1.343e+02,8.553e-04,-5.935e+00
1.345e+02,7.045e-04,-5.953e+00
1.347e+02,5.549e-04,-5.971e+00
1.349e+02,4.063e-04,-5.989e+00
1.351e+02,2.590e-04,-6.007e+00
1.353e+02,1.129e-04,-6.026e+00
1.355e+02,3.196e-05,-2.902e+00
1.357e+02,1.755e-04,-2.920e+00
1.359e+02,3.178e-04,-2.939e+00
1.361e+02,4.587e-04,-2.957e+00
1.363e+02,5.982e-04,-2.975e+00
1.365e+02,7.363e-04,-2.993e+00
1.367e+02,8.729e-04,-3.011e+00
1.369e+02,1.008e-03,-3.030e+00
1.371e+02,1.142e-03,-3.048e+00
1.373e+02,1.274e-03,-3.066e+00
1.375e+02,1.404e-03,-3.084e+00
1.377e+02,1.533e-03,-3.102e+00
1.379e+02,1.660e-03,-3.121e+00
1.381e+02,1.786e-03,-3.139e+00
1.383e+02,1.910e-03,-3.157e+00
1.385e+02,2.032e-03,-3.175e+00
1.387e+02,2.153e-03,-3.194e+00
1.389e+02,2.272e-03,-3.212e+00
1.391e+02,2.389e-03,-3.230e+00
1.393e+02,2.504e-03,-3.248e+00
1.395e+02,2.617e-03,-3.266e+00
1.397e+02,2.729e-03,-3.285e+00
1.399e+02,2.839e-03,-3.303e+00
1.401e+02,2.946e-03,-3.321e+00
1.403e+02,3.052e-03,-3.339e+00
1.405e+02,3.156e-03,-3.357e+00
1.407e+02,3.259e-03,-3.376e+00
1.409e+02,3.359e-03,-3.394e+00
1.411e+02,3.457e-03,-3.412e+00
1.413e+02,3.553e-03,-3.430e+00
1.415e+02,3.647e-03,-3.448e+00
1.417e+02,3.740e-03,-3.467e+00
1.419e+02,3.830e-03,-3.485e+00
1.421e+02,3.918e-03,-3.503e+00
1.423e+02,4.004e-03,-3.521e+00
1.425e+02,4.088e-03,-3.539e+00
1.427e+02,4.170e-03,-3.558e+00
1.429e+02,4.250e-03,-3.576e+00
1.431e+02,4.328e-03,-3.594e+00
1.433e+02,4.404e-03,-3.612e+00
1.435e+02,4.478e-03,-3.631e+00
1.437e+02,4.550e-03,-3.649e+00
1.439e+02,4.619e-03,-3.667e+00
1.441e+02,4.687e-03,-3.685e+00
1.443e+02,4.752e-03,-3.703e+00
1.445e+02,4.815e-03,-3.722e+00
1.447e+02,4.876e-03,-3.740e+00
1.449e+02,4.935e-03,-3.758e+00
1.451e+02,4.992e-03,-3.776e+00
1.453e+02,5.047e-03,-3.794e+00
1.455e+02,5.100e-03,-3.813e+00
1.457e+02,5.150e-03,-3.831e+00
1.459e+02,5.199e-03,-3.849e+00
1.461e+02,5.245e-03,-3.867e+00
1.463e+02,5.289e-03,-3.885e+00
1.465e+02,5.332e-03,-3.904e+00
1.467e+02,5.372e-03,-3.922e+00
1.469e+02,5.409e-03,-3.940e+00
1.471e+02,5.445e-03,-3.958e+00
1.473e+02,5.479e-03,-3.976e+00
1.475e+02,5.511e-03,-3.995e+00
1.477e+02,5.540e-03,-4.013e+00
1.479e+02,5.568e-03,-4.031e+00
1.481e+02,5.593e-03,-4.049e+00
1.483e+02,5.616e-03,-4.068e+00
1.485e+02,5.638e-03,-4.086e+00
1.487e+02,5.657e-03,-4.104e+00
1.489e+02,5.674e-03,-4.122e+00
1.491e+02,5.690e-03,-4.140e+00
1.493e+02,5.703e-03,-4.159e+00
1.495e+02,5.714e-03,-4.177e+00
1.497e+02,5.723e-03,-4.195e+00
1.499e+02,5.731e-03,-4.213e+00
1.502e+02,5.736e-03,-4.231e+00
1.504e+02,5.740e-03,-4.250e+00
1.506e+02,5.741e-03,-4.268e+00
1.508e+02,5.741e-03,-4.286e+00
1.510e+02,5.739e-03,-4.304e+00
1.512e+02,5.734e-03,-4.322e+00
1.514e+02,5.728e-03,-4.341e+00
1.516e+02,5.720e-03,-4.359e+00
1.518e+02,5.711e-03,-4.377e+00
1.520e+02,5.699e-03,-4.395e+00
1.522e+02,5.686e-03,-4.413e+00
1.524e+02,5.671e-03,-4.432e+00
1.526e+02,5.654e-03,-4.450e+00
1.528e+02,5.636e-03,-4.468e+00
1.530e+02,5.615e-03,-4.486e+00
1.532e+02,5.593e-03,-4.505e+00
1.534e+02,5.570e-03,-4.523e+00
1.536e+02,5.544e-03,-4.541e+00
1.538e+02,5.518e-03,-4.559e+00
1.540e+02,5.489e-03,-4.577e+00
1.542e+02,5.459e-03,-4.596e+00
1.544e+02,5.427e-03,-4.614e+00
1.546e+02,5.394e-03,-4.632e+00
1.548e+02,5.359e-03,-4.650e+00
1.550e+02,5.323e-03,-4.668e+00
1.552e+02,5.285e-03,-4.687e+00
1.554e+02,5.246e-03,-4.705e+00
1.556e+02,5.205e-03,-4.723e+00
1.558e+02,5.163e-03,-4.741e+00
1.560e+02,5.120e-03,-4.759e+00
1.562e+02,5.075e-03,-4.778e+00
1.564e+02,5.029e-03,-4.796e+00
1.566e+02,4.982e-03,-4.814e+00
1.568e+02,4.933e-03,-4.832e+00
1.570e+02,4.883e-03,-4.850e+00
1.572e+02,4.832e-03,-4.869e+00
1.574e+02,4.779e-03,-4.887e+00
1.576e+02,4.726e-03,-4.905e+00
1.578e+02,4.671e-03,-4.923e+00
1.580e+02,4.615e-03,-4.942e+00
1.582e+02,4.558e-03,-4.960e+00
1.584e+02,4.500e-03,-4.978e+00
1.586e+02,4.441e-03,-4.996e+00
1.588e+02,4.381e-03,-5.014e+00
1.590e+02,4.320e-03,-5.033e+00
1.592e+02,4.258e-03,-5.051e+00
1.594e+02,4.195e-03,-5.069e+00
1.596e+02,4.131e-03,-5.087e+00
1.598e+02,4.066e-03,-5.105e+00
1.600e+02,4.000e-03,-5.124e+00
1.602e+02,3.934e-03,-5.142e+00
1.604e+02,3.867e-03,-5.160e+00
1.606e+02,3.799e-03,-5.178e+00
1.608e+02,3.730e-03,-5.196e+00
1.610e+02,3.660e-03,-5.215e+00
1.612e+02,3.590e-03,-5.233e+00
1.614e+02,3.519e-03,-5.251e+00
1.616e+02,3.448e-03,-5.269e+00
1.618e+02,3.375e-03,-5.287e+00
1.620e+02,3.303e-03,-5.306e+00
1.622e+02,3.229e-03,-5.324e+00
1.624e+02,3.156e-03,-5.342e+00
1.626e+02,3.081e-03,-5.360e+00
1.628e+02,3.007e-03,-5.379e+00
1.630e+02,2.931e-03,-5.397e+00
1.632e+02,2.856e-03,-5.415e+00
1.634e+02,2.780e-03,-5.433e+00
1.636e+02,2.703e-03,-5.451e+00
1.638e+02,2.627e-03,-5.470e+00
1.640e+02,2.550e-03,-5.488e+00
1.642e+02,2.472e-03,-5.506e+00
1.644e+02,2.395e-03,-5.524e+00
1.646e+02,2.317e-03,-5.542e+00
1.648e+02,2.239e-03,-5.561e+00
1.650e+02,2.161e-03,-5.579e+00
1.652e+02,2.083e-03,-5.597e+00
1.654e+02,2.004e-03,-5.615e+00
1.656e+02,1.926e-03,-5.633e+00
1.658e+02,1.847e-03,-5.652e+00
1.660e+02,1.769e-03,-5.670e+00
1.662e+02,1.690e-03,-5.688e+00
1.664e+02,1.611e-03,-5.706e+00
1.666e+02,1.533e-03,-5.724e+00
1.668e+02,1.454e-03,-5.743e+00
1.670e+02,1.376e-03,-5.761e+00
1.672e+02,1.297e-03,-5.779e+00
1.674e+02,1.219e-03,-5.797e+00
1.676e+02,1.141e-03,-5.816e+00
1.678e+02,1.063e-03,-5.834e+00
1.680e+02,9.855e-04,-5.852e+00
1.682e+02,9.081e-04,-5.870e+00
1.684e+02,8.309e-04,-5.888e+00
1.686e+02,7.540e-04,-5.907e+00
1.688e+02,6.773e-04,-5.925e+00
1.690e+02,6.010e-04,-5.943e+00
1.692e+02,5.251e-04,-5.961e+00
1.694e+02,4.495e-04,-5.979e+00
1.696e+02,3.743e-04,-5.998e+00
1.698e+02,2.995e-04,-6.016e+00
1.700e+02,2.251e-04,-6.034e+00
1.702e+02,1.512e-04,-6.052e+00
1.704e+02,7.772e-05,-6.070e+00
1.706e+02,4.752e-06,-6.089e+00
1.708e+02,6.770e-05,-2.965e+00
1.710e+02,1.396e-04,-2.983e+00
1.712e+02,2.110e-04,-3.002e+00
1.714e+02,2.818e-04,-3.020e+00
1.716e+02,3.520e-04,-3.038e+00
1.718e+02,4.216e-04,-3.056e+00
1.720e+02,4.906e-04,-3.074e+00
1.722e+02,5.590e-04,-3.093e+00
1.724e+02,6.267e-04,-3.111e+00
1.726e+02,6.937e-04,-3.129e+00
1.728e+02,7.600e-04,-3.147e+00
1.730e+02,8.256e-04,-3.166e+00
1.732e+02,8.905e-04,-3.184e+00
1.734e+02,9.546e-04,-3.202e+00
1.736e+02,1.018e-03,-3.220e+00
1.738e+02,1.081e-03,-3.238e+00
1.740e+02,1.142e-03,-3.257e+00
1.742e+02,1.203e-03,-3.275e+00
1.744e+02,1.264e-03,-3.293e+00
1.746e+02,1.323e-03,-3.311e+00
1.748e+02,1.381e-03,-3.329e+00
1.750e+02,1.439e-03,-3.348e+00
1.752e+02,1.496e-03,-3.366e+00
1.754e+02,1.552e-03,-3.384e+00
1.756e+02,1.607e-03,-3.402e+00
1.758e+02,1.661e-03,-3.420e+00
1.760e+02,1.714e-03,-3.439e+00
1.762e+02,1.766e-03,-3.457e+00
1.764e+02,1.818e-03,-3.475e+00
1.766e+02,1.868e-03,-3.493e+00
1.768e+02,1.918e-03,-3.511e+00
1.770e+02,1.966e-03,-3.530e+00
1.772e+02,2.013e-03,-3.548e+00
1.774e+02,2.060e-03,-3.566e+00
1.776e+02,2.105e-03,-3.584e+00
1.778e+02,2.150e-03,-3.603e+00
1.780e+02,2.193e-03,-3.621e+00
1.782e+02,2.236e-03,-3.639e+00
1.784e+02,2.277e-03,-3.657e+00
1.786e+02,2.318e-03,-3.675e+00
1.788e+02,2.357e-03,-3.694e+00
1.790e+02,2.395e-03,-3.712e+00
1.792e+02,2.433e-03,-3.730e+00
1.794e+02,2.469e-03,-3.748e+00
1.796e+02,2.504e-03,-3.766e+00
1.798e+02,2.538e-03,-3.785e+00
1.800e+02,2.571e-03,-3.803e+00
1.802e+02,2.603e-03,-3.821e+00
1.804e+02,2.634e-03,-3.839e+00
1.806e+02,2.664e-03,-3.857e+00
1.808e+02,2.693e-03,-3.876e+00
1.810e+02,2.720e-03,-3.894e+00
1.812e+02,2.747e-03,-3.912e+00
1.814e+02,2.772e-03,-3.930e+00
1.816e+02,2.797e-03,-3.948e+00
1.818e+02,2.820e-03,-3.967e+00
1.820e+02,2.842e-03,-3.985e+00
1.822e+02,2.864e-03,-4.003e+00
1.824e+02,2.884e-03,-4.021e+00
1.826e+02,2.903e-03,-4.040e+00
1.828e+02,2.921e-03,-4.058e+00
1.830e+02,2.937e-03,-4.076e+00
1.832e+02,2.953e-03,-4.094e+00
1.834e+02,2.968e-03,-4.112e+00
1.836e+02,2.981e-03,-4.131e+00
1.838e+02,2.994e-03,-4.149e+00
1.840e+02,3.005e-03,-4.167e+00
1.842e+02,3.016e-03,-4.185e+00
1.844e+02,3.025e-03,-4.203e+00
1.846e+02,3.033e-03,-4.222e+00
1.848e+02,3.041e-03,-4.240e+00
1.850e+02,3.047e-03,-4.258e+00
1.852e+02,3.052e-03,-4.276e+00
1.854e+02,3.056e-03,-4.294e+00
1.856e+02,3.059e-03,-4.313e+00
1.858e+02,3.061e-03,-4.331e+00
1.860e+02,3.062e-03,-4.349e+00
1.862e+02,3.062e-03,-4.367e+00
1.864e+02,3.061e-03,-4.385e+00
1.866e+02,3.059e-03,-4.404e+00
1.868e+02,3.056e-03,-4.422e+00
1.870e+02,3.051e-03,-4.440e+00
1.872e+02,3.046e-03,-4.458e+00
1.874e+02,3.040e-03,-4.477e+00
1.876e+02,3.033e-03,-4.495e+00
1.878e+02,3.026e-03,-4.513e+00
1.880e+02,3.017e-03,-4.531e+00
1.882e+02,3.007e-03,-4.549e+00
1.884e+02,2.996e-03,-4.568e+00
1.886e+02,2.984e-03,-4.586e+00
1.888e+02,2.972e-03,-4.604e+00
1.890e+02,2.958e-03,-4.622e+00
1.892e+02,2.944e-03,-4.640e+00
1.894e+02,2.929e-03,-4.659e+00
1.896e+02,2.913e-03,-4.677e+00
1.898e+02,2.896e-03,-4.695e+00
1.900e+02,2.878e-03,-4.713e+00
1.902e+02,2.859e-03,-4.731e+00
1.904e+02,2.839e-03,-4.750e+00
1.906e+02,2.819e-03,-4.768e+00
1.908e+02,2.798e-03,-4.786e+00
1.910e+02,2.776e-03,-4.804e+00
1.912e+02,2.753e-03,-4.822e+00
1.914e+02,2.730e-03,-4.841e+00
1.916e+02,2.706e-03,-4.859e+00
1.918e+02,2.681e-03,-4.877e+00
1.920e+02,2.655e-03,-4.895e+00
1.922e+02,2.629e-03,-4.914e+00
1.924e+02,2.601e-03,-4.932e+00
1.926e+02,2.574e-03,-4.950e+00
1.928e+02,2.545e-03,-4.968e+00
1.930e+02,2.516e-03,-4.986e+00
1.932e+02,2.486e-03,-5.005e+00
1.934e+02,2.456e-03,-5.023e+00
1.936e+02,2.425e-03,-5.041e+00
1.938e+02,2.393e-03,-5.059e+00
1.940e+02,2.361e-03,-5.077e+00
1.942e+02,2.328e-03,-5.096e+00
1.944e+02,2.294e-03,-5.114e+00
1.946e+02,2.260e-03,-5.132e+00
1.948e+02,2.226e-03,-5.150e+00
1.950e+02,2.191e-03,-5.168e+00
1.952e+02,2.155e-03,-5.187e+00
1.954e+02,2.119e-03,-5.205e+00
1.956e+02,2.083e-03,-5.223e+00
1.958e+02,2.046e-03,-5.241e+00
1.960e+02,2.008e-03,-5.259e+00
1.962e+02,1.971e-03,-5.278e+00
1.964e+02,1.932e-03,-5.296e+00
1.966e+02,1.894e-03,-5.314e+00
1.968e+02,1.854e-03,-5.332e+00
1.970e+02,1.815e-03,-5.351e+00
1.972e+02,1.775e-03,-5.369e+00
1.974e+02,1.735e-03,-5.387e+00
1.976e+02,1.695e-03,-5.405e+00
1.978e+02,1.654e-03,-5.423e+00
1.980e+02,1.613e-03,-5.442e+00
1.982e+02,1.571e-03,-5.460e+00
1.984e+02,1.530e-03,-5.478e+00
1.986e+02,1.488e-03,-5.496e+00
1.988e+02,1.446e-03,-5.514e+00
1.990e+02,1.403e-03,-5.533e+00
1.992e+02,1.361e-03,-5.551e+00
1.994e+02,1.318e-03,-5.569e+00
1.996e+02,1.275e-03,-5.587e+00
1.998e+02,1.232e-03,-5.605e+00
2.000e+02,1.188e-03,-5.624e+00
