w,A_C,A_D,N_D
0.000e+00,1.000e+00,1.000e+00,1.005e+00
8.173e-03,1.000e+00,1.000e+00,1.005e+00
1.635e-02,1.000e+00,1.000e+00,1.005e+00
2.452e-02,9.999e-01,9.999e-01,1.005e+00
3.269e-02,9.998e-01,9.998e-01,1.005e+00
4.087e-02,9.997e-01,9.997e-01,1.005e+00
4.904e-02,9.996e-01,9.996e-01,1.005e+00
5.721e-02,9.995e-01,9.995e-01,1.004e+00
6.539e-02,9.994e-01,9.993e-01,1.004e+00
7.356e-02,9.992e-01,9.992e-01,1.004e+00
8.173e-02,9.990e-01,9.990e-01,1.004e+00
8.990e-02,9.988e-01,9.988e-01,1.004e+00
9.808e-02,9.986e-01,9.985e-01,1.004e+00
1.063e-01,9.983e-01,9.983e-01,1.003e+00
1.144e-01,9.980e-01,9.980e-01,1.003e+00
1.226e-01,9.977e-01,9.977e-01,1.003e+00
1.308e-01,9.974e-01,9.974e-01,1.002e+00
1.389e-01,9.971e-01,9.971e-01,1.002e+00
1.471e-01,9.968e-01,9.967e-01,1.002e+00
1.553e-01,9.964e-01,9.963e-01,1.001e+00
1.635e-01,9.960e-01,9.959e-01,1.001e+00
1.716e-01,9.956e-01,9.955e-01,1.000e+00
1.798e-01,9.952e-01,9.951e-01,1.000e+00
1.880e-01,9.947e-01,9.946e-01,9.996e-01
1.962e-01,9.942e-01,9.941e-01,9.991e-01
2.043e-01,9.938e-01,9.936e-01,9.986e-01
2.125e-01,9.932e-01,9.931e-01,9.981e-01
2.207e-01,9.927e-01,9.926e-01,9.975e-01
2.288e-01,9.922e-01,9.920e-01,9.970e-01
2.370e-01,9.916e-01,9.914e-01,9.964e-01
2.452e-01,9.910e-01,9.908e-01,9.958e-01
2.534e-01,9.904e-01,9.902e-01,9.952e-01
2.615e-01,9.898e-01,9.896e-01,9.945e-01
2.697e-01,9.891e-01,9.889e-01,9.939e-01
2.779e-01,9.885e-01,9.882e-01,9.932e-01
2.861e-01,9.878e-01,9.875e-01,9.925e-01
2.942e-01,9.871e-01,9.868e-01,9.918e-01
3.024e-01,9.863e-01,9.861e-01,9.910e-01
3.106e-01,9.856e-01,9.853e-01,9.903e-01
3.188e-01,9.848e-01,9.845e-01,9.895e-01
3.269e-01,9.841e-01,9.838e-01,9.887e-01
3.351e-01,9.833e-01,9.829e-01,9.878e-01
3.433e-01,9.824e-01,9.821e-01,9.870e-01
3.514e-01,9.816e-01,9.812e-01,9.861e-01
3.596e-01,9.807e-01,9.804e-01,9.853e-01
3.678e-01,9.799e-01,9.795e-01,9.844e-01
3.760e-01,9.790e-01,9.786e-01,9.834e-01
3.841e-01,9.780e-01,9.776e-01,9.825e-01
3.923e-01,9.771e-01,9.767e-01,9.815e-01
4.005e-01,9.761e-01,9.757e-01,9.806e-01
4.087e-01,9.752e-01,9.747e-01,9.796e-01
4.168e-01,9.742e-01,9.737e-01,9.786e-01
4.250e-01,9.732e-01,9.726e-01,9.775e-01
4.332e-01,9.721e-01,9.716e-01,9.765e-01
4.413e-01,9.711e-01,9.705e-01,9.754e-01
4.495e-01,9.700e-01,9.694e-01,9.743e-01
4.577e-01,9.689e-01,9.683e-01,9.732e-01
4.659e-01,9.678e-01,9.672e-01,9.720e-01
4.740e-01,9.667e-01,9.661e-01,9.709e-01
4.822e-01,9.656e-01,9.649e-01,9.697e-01
4.904e-01,9.644e-01,9.637e-01,9.685e-01
4.986e-01,9.632e-01,9.625e-01,9.673e-01
5.067e-01,9.620e-01,9.613e-01,9.661e-01
5.149e-01,9.608e-01,9.600e-01,9.648e-01
5.231e-01,9.596e-01,9.588e-01,9.636e-01
5.313e-01,9.583e-01,9.575e-01,9.623e-01
5.394e-01,9.570e-01,9.562e-01,9.610e-01
5.476e-01,9.557e-01,9.549e-01,9.597e-01
5.558e-01,9.544e-01,9.536e-01,9.583e-01
5.639e-01,9.531e-01,9.522e-01,9.570e-01
5.721e-01,9.518e-01,9.508e-01,9.556e-01
5.803e-01,9.504e-01,9.494e-01,9.542e-01
5.885e-01,9.490e-01,9.480e-01,9.528e-01
5.966e-01,9.476e-01,9.466e-01,9.514e-01
6.048e-01,9.462e-01,9.452e-01,9.499e-01
6.130e-01,9.448e-01,9.437e-01,9.484e-01
6.212e-01,9.433e-01,9.422e-01,9.469e-01
6.293e-01,9.418e-01,9.407e-01,9.454e-01
6.375e-01,9.404e-01,9.392e-01,9.439e-01
6.457e-01,9.388e-01,9.377e-01,9.424e-01
6.539e-01,9.373e-01,9.361e-01,9.408e-01
