w,A_C,A_D,N_D
6.620e-01,9.358e-01,9.346e-01,9.392e-01
6.702e-01,9.342e-01,9.330e-01,9.377e-01
6.784e-01,9.327e-01,9.314e-01,9.360e-01
6.865e-01,9.311e-01,9.298e-01,9.344e-01
6.947e-01,9.295e-01,9.281e-01,9.328e-01
7.029e-01,9.278e-01,9.265e-01,9.311e-01
7.111e-01,9.262e-01,9.248e-01,9.294e-01
7.192e-01,9.245e-01,9.231e-01,9.277e-01
7.274e-01,9.228e-01,9.214e-01,9.260e-01
7.356e-01,9.212e-01,9.197e-01,9.243e-01
7.438e-01,9.194e-01,9.179e-01,9.225e-01
7.519e-01,9.177e-01,9.162e-01,9.208e-01
7.601e-01,9.160e-01,9.144e-01,9.190e-01
7.683e-01,9.142e-01,9.126e-01,9.172e-01
7.764e-01,9.124e-01,9.108e-01,9.154e-01
7.846e-01,9.106e-01,9.090e-01,9.135e-01
7.928e-01,9.088e-01,9.072e-01,9.117e-01
8.010e-01,9.070e-01,9.053e-01,9.098e-01
8.091e-01,9.052e-01,9.034e-01,9.079e-01
8.173e-01,9.033e-01,9.015e-01,9.060e-01
8.255e-01,9.014e-01,8.996e-01,9.041e-01
8.337e-01,8.996e-01,8.977e-01,9.022e-01
8.418e-01,8.977e-01,8.958e-01,9.002e-01
8.500e-01,8.957e-01,8.938e-01,8.983e-01
8.582e-01,8.938e-01,8.918e-01,8.963e-01
8.664e-01,8.918e-01,8.899e-01,8.943e-01
8.745e-01,8.899e-01,8.879e-01,8.923e-01
8.827e-01,8.879e-01,8.858e-01,8.903e-01
8.909e-01,8.859e-01,8.838e-01,8.882e-01
8.990e-01,8.839e-01,8.818e-01,8.862e-01
9.072e-01,8.819e-01,8.797e-01,8.841e-01
9.154e-01,8.798e-01,8.776e-01,8.820e-01
9.236e-01,8.778e-01,8.755e-01,8.799e-01
9.317e-01,8.757e-01,8.734e-01,8.778e-01
9.399e-01,8.736e-01,8.713e-01,8.757e-01
9.481e-01,8.715e-01,8.692e-01,8.735e-01
9.563e-01,8.694e-01,8.670e-01,8.714e-01
9.644e-01,8.673e-01,8.649e-01,8.692e-01
9.726e-01,8.651e-01,8.627e-01,8.670e-01
9.808e-01,8.630e-01,8.605e-01,8.648e-01
9.889e-01,8.608e-01,8.583e-01,8.626e-01
9.971e-01,8.586e-01,8.561e-01,8.603e-01
1.005e+00,8.564e-01,8.538e-01,8.581e-01
1.013e+00,8.542e-01,8.516e-01,8.558e-01
1.022e+00,8.519e-01,8.493e-01,8.535e-01
1.030e+00,8.497e-01,8.470e-01,8.513e-01
1.038e+00,8.474e-01,8.447e-01,8.489e-01
1.046e+00,8.452e-01,8.424e-01,8.466e-01
1.054e+00,8.429e-01,8.401e-01,8.443e-01
1.063e+00,8.406e-01,8.378e-01,8.419e-01
1.071e+00,8.383e-01,8.354e-01,8.396e-01
1.079e+00,8.360e-01,8.331e-01,8.372e-01
1.087e+00,8.336e-01,8.307e-01,8.348e-01
1.095e+00,8.313e-01,8.283e-01,8.324e-01
1.103e+00,8.289e-01,8.259e-01,8.300e-01
1.112e+00,8.265e-01,8.235e-01,8.276e-01
1.120e+00,8.241e-01,8.211e-01,8.252e-01
1.128e+00,8.217e-01,8.186e-01,8.227e-01
1.136e+00,8.193e-01,8.162e-01,8.202e-01
1.144e+00,8.169e-01,8.137e-01,8.178e-01
1.152e+00,8.145e-01,8.112e-01,8.153e-01
1.161e+00,8.120e-01,8.087e-01,8.128e-01
1.169e+00,8.095e-01,8.062e-01,8.103e-01
1.177e+00,8.071e-01,8.037e-01,8.077e-01
1.185e+00,8.046e-01,8.012e-01,8.052e-01
1.193e+00,8.021e-01,7.987e-01,8.027e-01
1.201e+00,7.996e-01,7.961e-01,8.001e-01
1.210e+00,7.970e-01,7.936e-01,7.975e-01
1.218e+00,7.945e-01,7.910e-01,7.949e-01
1.226e+00,7.920e-01,7.884e-01,7.923e-01
1.234e+00,7.894e-01,7.858e-01,7.897e-01
1.242e+00,7.868e-01,7.832e-01,7.871e-01
1.250e+00,7.843e-01,7.806e-01,7.845e-01
1.259e+00,7.817e-01,7.780e-01,7.818e-01
1.267e+00,7.791e-01,7.753e-01,7.792e-01
1.275e+00,7.765e-01,7.727e-01,7.765e-01
1.283e+00,7.738e-01,7.700e-01,7.739e-01
1.291e+00,7.712e-01,7.673e-01,7.712e-01
1.300e+00,7.686e-01,7.647e-01,7.685e-01
1.308e+00,7.659e-01,7.620e-01,7.658e-01
1.316e+00,7.632e-01,7.593e-01,7.631e-01
1.324e+00,7.606e-01,7.566e-01,7.603e-01
1.332e+00,7.579e-01,7.538e-01,7.576e-01
1.340e+00,7.552e-01,7.511e-01,7.549e-01
1.349e+00,7.525e-01,7.484e-01,7.521e-01
1.357e+00,7.498e-01,7.456e-01,7.493e-01
1.365e+00,7.470e-01,7.428e-01,7.466e-01
1.373e+00,7.443e-01,7.401e-01,7.438e-01
1.381e+00,7.416e-01,7.373e-01,7.410e-01
1.389e+00,7.388e-01,7.345e-01,7.382e-01
1.398e+00,7.361e-01,7.317e-01,7.354e-01
1.406e+00,7.333e-01,7.289e-01,7.326e-01
1.414e+00,7.305e-01,7.261e-01,7.297e-01
1.422e+00,7.277e-01,7.233e-01,7.269e-01
1.430e+00,7.249e-01,7.204e-01,7.240e-01
1.438e+00,7.221e-01,7.176e-01,7.212e-01
1.447e+00,7.193e-01,7.147e-01,7.183e-01
1.455e+00,7.165e-01,7.119e-01,7.155e-01
1.463e+00,7.136e-01,7.090e-01,7.126e-01
1.471e+00,7.108e-01,7.062e-01,7.097e-01
1.479e+00,7.080e-01,7.033e-01,7.068e-01
1.488e+00,7.051e-01,7.004e-01,7.039e-01
1.496e+00,7.022e-01,6.975e-01,7.010e-01
1.504e+00,6.994e-01,6.946e-01,6.981e-01
1.512e+00,6.965e-01,6.917e-01,6.951e-01
1.520e+00,6.936e-01,6.888e-01,6.922e-01
1.528e+00,6.907e-01,6.858e-01,6.893e-01
1.537e+00,6.878e-01,6.829e-01,6.863e-01
1.545e+00,6.849e-01,6.799e-01,6.833e-01
1.553e+00,6.820e-01,6.770e-01,6.804e-01
1.561e+00,6.791e-01,6.740e-01,6.774e-01
1.569e+00,6.762e-01,6.711e-01,6.744e-01
1.577e+00,6.732e-01,6.681e-01,6.715e-01
1.586e+00,6.703e-01,6.651e-01,6.685e-01
1.594e+00,6.673e-01,6.622e-01,6.655e-01
1.602e+00,6.644e-01,6.592e-01,6.625e-01
1.610e+00,6.614e-01,6.562e-01,6.595e-01
1.618e+00,6.585e-01,6.532e-01,6.565e-01
1.626e+00,6.555e-01,6.502e-01,6.534e-01
1.635e+00,6.525e-01,6.472e-01,6.504e-01
1.643e+00,6.495e-01,6.442e-01,6.474e-01
1.651e+00,6.465e-01,6.411e-01,6.443e-01
1.659e+00,6.435e-01,6.381e-01,6.413e-01
1.667e+00,6.405e-01,6.351e-01,6.383e-01
1.675e+00,6.375e-01,6.320e-01,6.352e-01
1.684e+00,6.345e-01,6.290e-01,6.322e-01
1.692e+00,6.315e-01,6.260e-01,6.291e-01
1.700e+00,6.285e-01,6.229e-01,6.260e-01
1.708e+00,6.255e-01,6.199e-01,6.230e-01
1.716e+00,6.224e-01,6.168e-01,6.199e-01
1.725e+00,6.194e-01,6.137e-01,6.168e-01
1.733e+00,6.163e-01,6.107e-01,6.137e-01
1.741e+00,6.133e-01,6.076e-01,6.106e-01
1.749e+00,6.103e-01,6.045e-01,6.075e-01
1.757e+00,6.072e-01,6.014e-01,6.044e-01
1.765e+00,6.041e-01,5.984e-01,6.013e-01
1.774e+00,6.011e-01,5.953e-01,5.982e-01
1.782e+00,5.980e-01,5.922e-01,5.951e-01
1.790e+00,5.950e-01,5.891e-01,5.920e-01
1.798e+00,5.919e-01,5.860e-01,5.889e-01
1.806e+00,5.888e-01,5.829e-01,5.858e-01
1.814e+00,5.857e-01,5.798e-01,5.827e-01
1.823e+00,5.827e-01,5.767e-01,5.796e-01
1.831e+00,5.796e-01,5.736e-01,5.764e-01
1.839e+00,5.765e-01,5.705e-01,5.733e-01
1.847e+00,5.734e-01,5.673e-01,5.702e-01
1.855e+00,5.703e-01,5.642e-01,5.670e-01
1.863e+00,5.672e-01,5.611e-01,5.639e-01
1.872e+00,5.641e-01,5.580e-01,5.608e-01
1.880e+00,5.610e-01,5.549e-01,5.576e-01
1.888e+00,5.579e-01,5.517e-01,5.545e-01
1.896e+00,5.548e-01,5.486e-01,5.513e-01
1.904e+00,5.517e-01,5.455e-01,5.482e-01
1.913e+00,5.486e-01,5.423e-01,5.451e-01
1.921e+00,5.455e-01,5.392e-01,5.419e-01
1.929e+00,5.424e-01,5.361e-01,5.388e-01
1.937e+00,5.392e-01,5.329e-01,5.356e-01
1.945e+00,5.361e-01,5.298e-01,5.325e-01
1.953e+00,5.330e-01,5.267e-01,5.293e-01
1.962e+00,5.299e-01,5.235e-01,5.262e-01
1.970e+00,5.268e-01,5.204e-01,5.230e-01
1.978e+00,5.237e-01,5.173e-01,5.198e-01
1.986e+00,5.205e-01,5.141e-01,5.167e-01
1.994e+00,5.174e-01,5.110e-01,5.135e-01
2.002e+00,5.143e-01,5.078e-01,5.104e-01
2.011e+00,5.112e-01,5.047e-01,5.072e-01
2.019e+00,5.080e-01,5.016e-01,5.041e-01
2.027e+00,5.049e-01,4.984e-01,5.009e-01
2.035e+00,5.018e-01,4.953e-01,4.978e-01
2.043e+00,4.987e-01,4.921e-01,4.946e-01
2.051e+00,4.956e-01,4.890e-01,4.914e-01
2.060e+00,4.924e-01,4.859e-01,4.883e-01
2.068e+00,4.893e-01,4.827e-01,4.851e-01
2.076e+00,4.862e-01,4.796e-01,4.820e-01
2.084e+00,4.831e-01,4.764e-01,4.788e-01
2.092e+00,4.799e-01,4.733e-01,4.757e-01
2.100e+00,4.768e-01,4.702e-01,4.725e-01
2.109e+00,4.737e-01,4.670e-01,4.694e-01
2.117e+00,4.706e-01,4.639e-01,4.662e-01
2.125e+00,4.675e-01,4.608e-01,4.631e-01
2.133e+00,4.643e-01,4.577e-01,4.599e-01
2.141e+00,4.612e-01,4.545e-01,4.568e-01
2.150e+00,4.581e-01,4.514e-01,4.537e-01
2.158e+00,4.550e-01,4.483e-01,4.505e-01
2.166e+00,4.519e-01,4.452e-01,4.474e-01
2.174e+00,4.488e-01,4.420e-01,4.442e-01
2.182e+00,4.457e-01,4.389e-01,4.411e-01
2.190e+00,4.426e-01,4.358e-01,4.380e-01
2.199e+00,4.395e-01,4.327e-01,4.349e-01
2.207e+00,4.363e-01,4.296e-01,4.317e-01
2.215e+00,4.332e-01,4.265e-01,4.286e-01
2.223e+00,4.302e-01,4.234e-01,4.255e-01
2.231e+00,4.271e-01,4.203e-01,4.224e-01
2.239e+00,4.240e-01,4.172e-01,4.193e-01
2.248e+00,4.209e-01,4.141e-01,4.161e-01
2.256e+00,4.178e-01,4.110e-01,4.130e-01
2.264e+00,4.147e-01,4.079e-01,4.099e-01
2.272e+00,4.116e-01,4.048e-01,4.068e-01
2.280e+00,4.085e-01,4.017e-01,4.037e-01
2.288e+00,4.055e-01,3.986e-01,4.006e-01
2.297e+00,4.024e-01,3.956e-01,3.975e-01
2.305e+00,3.993e-01,3.925e-01,3.945e-01
2.313e+00,3.963e-01,3.894e-01,3.914e-01
2.321e+00,3.932e-01,3.864e-01,3.883e-01
2.329e+00,3.901e-01,3.833e-01,3.852e-01
2.338e+00,3.871e-01,3.802e-01,3.822e-01
2.346e+00,3.840e-01,3.772e-01,3.791e-01
2.354e+00,3.810e-01,3.742e-01,3.760e-01
2.362e+00,3.779e-01,3.711e-01,3.730e-01
2.370e+00,3.749e-01,3.681e-01,3.699e-01
2.378e+00,3.719e-01,3.650e-01,3.669e-01
2.387e+00,3.688e-01,3.620e-01,3.638e-01
2.395e+00,3.658e-01,3.590e-01,3.608e-01
2.403e+00,3.628e-01,3.560e-01,3.578e-01
2.411e+00,3.598e-01,3.530e-01,3.547e-01
2.419e+00,3.568e-01,3.500e-01,3.517e-01
2.427e+00,3.538e-01,3.470e-01,3.487e-01
2.436e+00,3.508e-01,3.440e-01,3.457e-01
2.444e+00,3.478e-01,3.410e-01,3.427e-01
2.452e+00,3.448e-01,3.380e-01,3.397e-01
2.460e+00,3.418e-01,3.350e-01,3.367e-01
2.468e+00,3.388e-01,3.320e-01,3.337e-01
2.476e+00,3.358e-01,3.291e-01,3.307e-01
2.485e+00,3.329e-01,3.261e-01,3.277e-01
2.493e+00,3.299e-01,3.232e-01,3.248e-01
2.501e+00,3.270e-01,3.202e-01,3.218e-01
2.509e+00,3.240e-01,3.173e-01,3.188e-01
2.517e+00,3.211e-01,3.143e-01,3.159e-01
2.525e+00,3.181e-01,3.114e-01,3.130e-01
2.534e+00,3.152e-01,3.085e-01,3.100e-01
2.542e+00,3.123e-01,3.056e-01,3.071e-01
2.550e+00,3.093e-01,3.027e-01,3.042e-01
2.558e+00,3.064e-01,2.997e-01,3.012e-01
2.566e+00,3.035e-01,2.969e-01,2.983e-01
2.575e+00,3.006e-01,2.940e-01,2.954e-01
2.583e+00,2.977e-01,2.911e-01,2.925e-01
2.591e+00,2.948e-01,2.882e-01,2.897e-01
2.599e+00,2.919e-01,2.853e-01,2.868e-01
2.607e+00,2.891e-01,2.825e-01,2.839e-01
2.615e+00,2.862e-01,2.796e-01,2.810e-01
2.624e+00,2.833e-01,2.768e-01,2.782e-01
2.632e+00,2.805e-01,2.740e-01,2.753e-01
2.640e+00,2.777e-01,2.711e-01,2.725e-01
2.648e+00,2.748e-01,2.683e-01,2.696e-01
2.656e+00,2.720e-01,2.655e-01,2.668e-01
2.664e+00,2.692e-01,2.627e-01,2.640e-01
2.673e+00,2.663e-01,2.599e-01,2.612e-01
2.681e+00,2.635e-01,2.571e-01,2.584e-01
2.689e+00,2.607e-01,2.543e-01,2.556e-01
2.697e+00,2.579e-01,2.515e-01,2.528e-01
2.705e+00,2.552e-01,2.488e-01,2.500e-01
2.713e+00,2.524e-01,2.460e-01,2.473e-01
2.722e+00,2.496e-01,2.433e-01,2.445e-01
2.730e+00,2.469e-01,2.405e-01,2.417e-01
2.738e+00,2.441e-01,2.378e-01,2.390e-01
2.746e+00,2.414e-01,2.351e-01,2.363e-01
2.754e+00,2.386e-01,2.324e-01,2.335e-01
2.763e+00,2.359e-01,2.297e-01,2.308e-01
2.771e+00,2.332e-01,2.270e-01,2.281e-01
2.779e+00,2.305e-01,2.243e-01,2.254e-01
2.787e+00,2.278e-01,2.216e-01,2.227e-01
2.795e+00,2.251e-01,2.190e-01,2.201e-01
2.803e+00,2.224e-01,2.163e-01,2.174e-01
2.812e+00,2.197e-01,2.137e-01,2.147e-01
2.820e+00,2.171e-01,2.110e-01,2.121e-01
2.828e+00,2.144e-01,2.084e-01,2.094e-01
2.836e+00,2.118e-01,2.058e-01,2.068e-01
2.844e+00,2.091e-01,2.032e-01,2.042e-01
2.852e+00,2.065e-01,2.006e-01,2.016e-01
2.861e+00,2.039e-01,1.980e-01,1.990e-01
2.869e+00,2.013e-01,1.954e-01,1.964e-01
2.877e+00,1.987e-01,1.928e-01,1.938e-01
2.885e+00,1.961e-01,1.903e-01,1.912e-01
2.893e+00,1.935e-01,1.877e-01,1.887e-01
2.901e+00,1.909e-01,1.852e-01,1.861e-01
2.910e+00,1.884e-01,1.827e-01,1.836e-01
2.918e+00,1.858e-01,1.801e-01,1.810e-01
2.926e+00,1.833e-01,1.776e-01,1.785e-01
2.934e+00,1.807e-01,1.751e-01,1.760e-01
2.942e+00,1.782e-01,1.726e-01,1.735e-01
2.951e+00,1.757e-01,1.702e-01,1.710e-01
2.959e+00,1.732e-01,1.677e-01,1.685e-01
2.967e+00,1.707e-01,1.652e-01,1.661e-01
2.975e+00,1.682e-01,1.628e-01,1.636e-01
2.983e+00,1.658e-01,1.604e-01,1.612e-01
2.991e+00,1.633e-01,1.579e-01,1.587e-01
3.000e+00,1.609e-01,1.555e-01,1.563e-01
3.008e+00,1.584e-01,1.531e-01,1.539e-01
3.016e+00,1.560e-01,1.507e-01,1.515e-01
3.024e+00,1.536e-01,1.484e-01,1.491e-01
3.032e+00,1.512e-01,1.460e-01,1.467e-01
3.040e+00,1.488e-01,1.436e-01,1.444e-01
3.049e+00,1.464e-01,1.413e-01,1.420e-01
3.057e+00,1.440e-01,1.390e-01,1.396e-01
3.065e+00,1.417e-01,1.366e-01,1.373e-01
3.073e+00,1.393e-01,1.343e-01,1.350e-01
3.081e+00,1.370e-01,1.320e-01,1.327e-01
3.089e+00,1.346e-01,1.297e-01,1.304e-01
3.098e+00,1.323e-01,1.275e-01,1.281e-01
3.106e+00,1.300e-01,1.252e-01,1.258e-01
3.114e+00,1.277e-01,1.229e-01,1.235e-01
3.122e+00,1.254e-01,1.207e-01,1.213e-01
3.130e+00,1.231e-01,1.185e-01,1.190e-01
3.138e+00,1.209e-01,1.162e-01,1.168e-01
3.147e+00,1.186e-01,1.140e-01,1.146e-01
3.155e+00,1.164e-01,1.118e-01,1.124e-01
3.163e+00,1.142e-01,1.096e-01,1.102e-01
3.171e+00,1.119e-01,1.075e-01,1.080e-01
3.179e+00,1.097e-01,1.053e-01,1.058e-01
3.188e+00,1.075e-01,1.032e-01,1.037e-01
3.196e+00,1.054e-01,1.010e-01,1.015e-01
3.204e+00,1.032e-01,9.890e-02,9.940e-02
3.212e+00,1.010e-01,9.679e-02,9.728e-02
3.220e+00,9.889e-02,9.469e-02,9.516e-02
3.228e+00,9.675e-02,9.260e-02,9.307e-02
3.237e+00,9.463e-02,9.053e-02,9.098e-02
3.245e+00,9.252e-02,8.846e-02,8.891e-02
3.253e+00,9.042e-02,8.641e-02,8.684e-02
3.261e+00,8.833e-02,8.437e-02,8.479e-02
3.269e+00,8.625e-02,8.235e-02,8.276e-02
3.277e+00,8.419e-02,8.033e-02,8.073e-02
3.286e+00,8.214e-02,7.833e-02,7.872e-02
3.294e+00,8.010e-02,7.634e-02,7.672e-02
3.302e+00,7.807e-02,7.436e-02,7.473e-02
3.310e+00,7.606e-02,7.240e-02,7.276e-02
3.318e+00,7.406e-02,7.044e-02,7.080e-02
3.326e+00,7.207e-02,6.851e-02,6.885e-02
3.335e+00,7.009e-02,6.658e-02,6.691e-02
3.343e+00,6.812e-02,6.466e-02,6.499e-02
3.351e+00,6.617e-02,6.276e-02,6.308e-02
3.359e+00,6.423e-02,6.087e-02,6.118e-02
3.367e+00,6.230e-02,5.900e-02,5.929e-02
3.376e+00,6.038e-02,5.713e-02,5.742e-02
3.384e+00,5.848e-02,5.528e-02,5.556e-02
3.392e+00,5.659e-02,5.344e-02,5.371e-02
3.400e+00,5.471e-02,5.162e-02,5.187e-02
3.408e+00,5.284e-02,4.980e-02,5.005e-02
3.416e+00,5.099e-02,4.800e-02,4.824e-02
3.425e+00,4.915e-02,4.621e-02,4.645e-02
3.433e+00,4.732e-02,4.444e-02,4.466e-02
3.441e+00,4.550e-02,4.268e-02,4.289e-02
3.449e+00,4.370e-02,4.093e-02,4.113e-02
3.457e+00,4.191e-02,3.919e-02,3.939e-02
3.465e+00,4.013e-02,3.747e-02,3.766e-02
3.474e+00,3.837e-02,3.576e-02,3.594e-02
3.482e+00,3.661e-02,3.406e-02,3.423e-02
3.490e+00,3.487e-02,3.238e-02,3.254e-02
3.498e+00,3.315e-02,3.071e-02,3.086e-02
3.506e+00,3.143e-02,2.905e-02,2.919e-02
3.514e+00,2.973e-02,2.740e-02,2.754e-02
3.523e+00,2.804e-02,2.577e-02,2.590e-02
3.531e+00,2.637e-02,2.415e-02,2.427e-02
3.539e+00,2.470e-02,2.254e-02,2.266e-02
3.547e+00,2.305e-02,2.095e-02,2.105e-02
3.555e+00,2.141e-02,1.937e-02,1.947e-02
3.563e+00,1.979e-02,1.780e-02,1.789e-02
3.572e+00,1.818e-02,1.625e-02,1.633e-02
3.580e+00,1.658e-02,1.470e-02,1.478e-02
3.588e+00,1.499e-02,1.318e-02,1.324e-02
3.596e+00,1.342e-02,1.166e-02,1.172e-02
3.604e+00,1.186e-02,1.016e-02,1.021e-02
3.613e+00,1.031e-02,8.669e-03,8.712e-03
3.621e+00,8.778e-03,7.192e-03,7.228e-03
3.629e+00,7.256e-03,5.729e-03,5.757e-03
3.637e+00,5.748e-03,4.278e-03,4.300e-03
3.645e+00,4.252e-03,2.841e-03,2.855e-03
3.653e+00,2.769e-03,1.417e-03,1.424e-03
3.662e+00,1.300e-03,5.360e-06,5.387e-06
3.670e+00,1.573e-04,1.393e-03,1.400e-03
3.678e+00,1.601e-03,2.778e-03,2.792e-03
3.686e+00,3.032e-03,4.150e-03,4.171e-03
3.694e+00,4.450e-03,5.510e-03,5.537e-03
3.702e+00,5.855e-03,6.856e-03,6.890e-03
3.711e+00,7.248e-03,8.189e-03,8.230e-03
3.719e+00,8.627e-03,9.509e-03,9.557e-03
3.727e+00,9.993e-03,1.082e-02,1.087e-02
3.735e+00,1.135e-02,1.211e-02,1.217e-02
3.743e+00,1.269e-02,1.339e-02,1.346e-02
3.751e+00,1.401e-02,1.466e-02,1.473e-02
3.760e+00,1.533e-02,1.592e-02,1.599e-02
3.768e+00,1.663e-02,1.716e-02,1.724e-02
3.776e+00,1.792e-02,1.839e-02,1.848e-02
3.784e+00,1.920e-02,1.960e-02,1.970e-02
3.792e+00,2.046e-02,2.081e-02,2.091e-02
3.801e+00,2.171e-02,2.200e-02,2.211e-02
3.809e+00,2.295e-02,2.318e-02,2.329e-02
3.817e+00,2.417e-02,2.434e-02,2.446e-02
3.825e+00,2.538e-02,2.549e-02,2.562e-02
3.833e+00,2.658e-02,2.663e-02,2.676e-02
3.841e+00,2.777e-02,2.776e-02,2.790e-02
3.850e+00,2.894e-02,2.887e-02,2.902e-02
3.858e+00,3.010e-02,2.997e-02,3.012e-02
3.866e+00,3.125e-02,3.106e-02,3.122e-02
3.874e+00,3.238e-02,3.214e-02,3.230e-02
3.882e+00,3.350e-02,3.320e-02,3.336e-02
3.890e+00,3.461e-02,3.425e-02,3.442e-02
3.899e+00,3.571e-02,3.529e-02,3.546e-02
3.907e+00,3.679e-02,3.631e-02,3.649e-02
3.915e+00,3.786e-02,3.732e-02,3.751e-02
3.923e+00,3.892e-02,3.832e-02,3.851e-02
3.931e+00,3.997e-02,3.931e-02,3.950e-02
3.939e+00,4.100e-02,4.028e-02,4.048e-02
3.948e+00,4.202e-02,4.124e-02,4.145e-02
3.956e+00,4.303e-02,4.219e-02,4.240e-02
3.964e+00,4.402e-02,4.313e-02,4.334e-02
3.972e+00,4.501e-02,4.405e-02,4.427e-02
3.980e+00,4.598e-02,4.496e-02,4.519e-02
3.988e+00,4.693e-02,4.586e-02,4.609e-02
3.997e+00,4.788e-02,4.675e-02,4.698e-02
4.005e+00,4.881e-02,4.762e-02,4.786e-02
4.013e+00,4.973e-02,4.849e-02,4.873e-02
4.021e+00,5.064e-02,4.934e-02,4.958e-02
4.029e+00,5.153e-02,5.017e-02,5.042e-02
4.038e+00,5.242e-02,5.100e-02,5.125e-02
4.046e+00,5.329e-02,5.181e-02,5.207e-02
4.054e+00,5.415e-02,5.261e-02,5.288e-02
4.062e+00,5.499e-02,5.340e-02,5.367e-02
