#t,x
0,-90.3823279524214
0.005,-90.4587935429057
0.01,-90.53525913339
0.015,-90.4587935429057
0.02,-90.2293967714528
0.025,-91.9116397621071
0.03,-90.2293967714528
0.035,-90.2293967714528
0.04,-90.0764655904843
0.045,-89.3882752761257
0.05,-90.4587935429057
0.055,-90.1529311809686
0.06,-90.1529311809686
0.065,-90.4587935429057
0.07,-91.4528462192014
0.075,-90.1529311809686
0.08,-90
0.085,-90.1529311809686
0.09,-90.1529311809686
0.095,-90.3823279524214
0.1,-90.3058623619371
0.105,-90.3058623619371
0.11,-90.53525913339
0.115,-90.4587935429057
0.12,-90.3058623619371
0.125,-90.1529311809686
0.13,-90.1529311809686
0.135,-90.1529311809686
0.14,-90.1529311809686
0.145,-90.1529311809686
0.15,-90.1529311809686
0.155,-90.1529311809686
0.16,-90.3058623619371
0.165,-90.1529311809686
0.17,-90.1529311809686
0.175,-90.1529311809686
0.18,-90.1529311809686
0.185,-90.4587935429057
0.19,-90.1529311809686
0.195,-90.1529311809686
0.2,-90.7646559048428
0.205,-90.4587935429057
0.21,-90.4587935429057
0.215,-89.7706032285472
0.22,-90.4587935429057
0.225,-90.2293967714528
0.23,-90.1529311809686
0.235,-90.4587935429057
0.24,-90
0.245,-90.0764655904843
0.25,-90.1529311809686
0.255,-90
0.26,-90.2293967714528
0.265,-90.1529311809686
0.27,-90.1529311809686
0.275,-89.9235344095157
0.28,-90.2293967714528
0.285,-90.1529311809686
0.29,-90.1529311809686
0.295,-90.4587935429057
0.3,-89.9235344095157
0.305,-90.1529311809686
0.31,-90.4587935429057
0.315,-90.2293967714528
0.32,-90.4587935429057
0.325,-90.4587935429057
0.33,-90.3823279524214
0.335,-90.1529311809686
0.34,-91.0705182667799
0.345,-89.9235344095157
0.35,-89.8470688190314
0.355,-89.6941376380629
0.36,-89.5412064570943
0.365,-89.0824129141886
0.37,-88.7765505522515
0.375,-88.1648258283772
0.38,-88.0118946474086
0.385,-87.3237043330501
0.39,-87.2472387425658
0.395,-86.2531860662702
0.4,-85.0297366185217
0.405,-84.8003398470688
0.41,-84.3415463041631
0.415,-84.1121495327103
0.42,-83.5768903993203
0.425,-82.8887000849618
0.43,-82.0475785896346
0.435,-80.9770603228547
0.44,-79.9065420560748
0.445,-79.2183517417162
0.45,-77.9949022939677
0.455,-77.0773152081563
0.46,-76.1597281223449
0.465,-73.7128292268479
0.47,-73.9422259983008
0.475,-73.6363636363636
0.48,-72.7952421410365
0.485,-70.8071367884452
0.49,-70.5012744265081
0.495,-69.0484282073067
0.5,-67.0603228547154
0.505,-66.0662701784197
0.51,-64.0016992353441
0.515,-63.160577740017
0.52,-62.090059473237
0.525,-59.8725573491929
0.53,-58.4961767204758
0.535,-57.5021240441801
0.54,-54.9022939677145
0.545,-53.7553101104503
0.55,-52.1495327102804
0.555,-50.5437553101104
0.56,-49.2438402718777
0.565,-47.6380628717077
0.57,-47.2557349192863
0.575,-44.732370433305
0.58,-39.9915038232795
0.585,-40.6032285471538
0.59,-39.0739167374681
0.595,-37.7740016992353
0.6,-36.1682242990654
0.605,-34.1036533559898
0.61,-32.1155480033985
0.615,-30.8156329651657
0.62,-28.5981308411215
0.625,-26.1512319456245
0.63,-21.3338997451147
0.635,-20.9515717926933
0.64,-20.0339847068819
0.645,-18.2752761257434
0.65,-19.0399320305862
0.655,-14.7578589634664
0.66,-12.0815632965166
0.665,-10.016992353441
0.67,-8.41121495327102
0.675,-6.65250637213254
0.68,-4.6644010195412
0.685,-2.44689889549701
0.69,-0.611724723874257
0.695,2.06457094307563
0.7,4.12914188615124
0.705,6.11724723874257
0.71,7.64655904842821
0.715,10.0934579439252
0.72,10.9345794392523
0.725,13.0756159728122
0.73,16.3636363636364
0.735,17.7400169923535
0.74,20.0339847068819
0.745,21.8691588785047
0.75,24.0101954120646
0.755,25.3865760407816
0.76,26.3806287170773
0.765,29.3627867459643
0.77,31.3508920985557
0.775,33.0331350892099
0.78,34.8683092608326
0.785,36.6270178419711
0.79,38.6915887850467
0.795,39.9150382327953
0.8,41.9031435853866
0.805,44.1206457094308
0.81,45.7264231096007
0.815,47.9439252336449
0.82,48.5556499575191
0.825,50.5437553101105
0.83,52.3789294817332
0.835,53.2200509770603
0.84,54.8258283772302
0.845,57.1197960917587
0.85,57.9609175870858
0.855,59.5666949872557
0.86,60.9430756159728
0.865,62.2429906542056
0.87,62.5488530161427
0.875,64.9957519116398
0.88,66.142735768904
0.885,67.3661852166525
0.89,68.3602378929482
0.895,69.2778249787596
0.9,70.0424808836024
0.905,72.0305862361937
0.91,72.8717077315208
0.915,74.1716227697536
0.92,74.9362786745964
0.925,76.0067969413764
0.93,77.536108751062
0.935,78.3007646559048
0.94,78.6830926083262
0.945,79.6006796941376
0.95,80.1359388275276
0.955,80.8241291418861
0.96,81.053525913339
0.965,82.5063721325404
0.97,82.2005097706032
0.975,82.5828377230246
0.98,82.5828377230246
0.985,82.5063721325404
0.99,80.5947323704333
0.995,83.8062871707732
1,84.570943075616
1.005,85.0297366185217
1.01,85.4120645709431
1.015,85.4120645709431
1.02,85.5649957519116
1.025,85.5649957519116
1.03,84.1121495327103
1.035,85.7179269328802
1.04,85.7179269328802
1.045,85.7179269328802
1.05,85.7179269328802
1.055,85.7943925233645
1.06,85.7179269328802
1.065,85.5649957519116
1.07,85.7179269328802
1.075,85.7179269328802
1.08,85.3355989804588
1.085,83.8062871707732
1.09,85.4885301614273
1.095,85.0297366185217
1.1,84.6474086661003
1.105,84.3415463041631
1.11,83.2710280373832
1.115,83.1945624468989
